Name,Group,Path,URL,AdditionalScrape,AdditionalCode,is_adopted
DJ_ConsumerServices,dj_sectors,raw_DJConsumerServices_price.parquet,indices/dj-consumer-services,None,None,TRUE
DJ_Retail,dj_sectors,raw_DJRetailers_price.parquet,indices/dj-retail,None,None,TRUE
DJ_FoodDrugRetailers,dj_sectors,raw_DJFoodDrugRetailers_price.parquet,indices/dj-food---drug-retailers,None,None,TRUE
DJ_DrugRetailers,dj_sectors,raw_DJDrugRetailers_price.parquet,indices/dj-drug-retailers,None,None,TRUE
DJ_FoodRetailWholesale,dj_sectors,raw_DJFoodRetailWholesale_price.parquet,indices/dj-food-retailers---wholesalers,None,None,TRUE
DJ_GeneralRetailers,dj_sectors,raw_DJGeneralRetailers_price.parquet,indices/dj-general-retailers,None,None,TRUE
DJ_ApparelRetailers,dj_sectors,raw_DJApparelRetailers_price.parquet,indices/dj-apparel-retailers,None,None,TRUE
DJ_BroadlineRetailers,dj_sectors,raw_DJBroadlineRetailers_price.parquet,indices/dj-broadline-retailers,None,None,TRUE
DJ_HomeImprovenetRetailers,dj_sectors,raw_DJHomeImprovenetRetailers_price.parquet,indices/dj-home-improvement-retailers,None,None,TRUE
DJ_SpecializedConsumerServ,dj_sectors,raw_DJSpecializedConsumerServ_price.parquet,indices/dj-special-consumer-services,None,None,TRUE
DJ_SpecialtyRetailers,dj_sectors,raw_DJSpecialtyRetailers_price.parquet,indices/dj-specialty-retailers,None,None,TRUE
DJ_Media,dj_sectors,raw_DJMedia_price.parquet,indices/dj-media,None,None,TRUE
DJ_BroadcastEntertainment,dj_sectors,raw_DJBroadcastEntertainment_price.parquet,indices/dj-broadcasting---entertainment,None,None,TRUE
DJ_MediaAgencies,dj_sectors,raw_DJMediaAgencies_price.parquet,indices/dj-media-agencies,None,None,TRUE
DJ_Publishing,dj_sectors,raw_DJPublishing_price.parquet,indices/dj-publishing,None,None,TRUE
DJ_TravelLeisure,dj_sectors,raw_DJTravelLeisure_price.parquet,indices/dj-travel---leisure,None,None,TRUE
DJ_Airlines,dj_sectors,raw_DJAirlines_price.parquet,indices/dj-airlines,None,None,TRUE
DJ_Gambling,dj_sectors,raw_DJGambling_price.parquet,indices/dj-gambling,None,None,TRUE
DJ_Hotels,dj_sectors,raw_DJHotels_price.parquet,indices/dj-hotels,None,None,TRUE
DJ_RecreationalServ,dj_sectors,raw_DJRecreationalServ_price.parquet,indices/dj-recreational-services,None,None,TRUE
DJ_RestaurantsBars,dj_sectors,raw_DJRestaurantsBars_price.parquet,indices/dj-restaurants---bars,None,None,TRUE
DJ_TravelTourism,dj_sectors,raw_DJTravelTourism_price.parquet,indices/dj-travel---tourism,None,None,TRUE
DJ_Telecommunications,dj_sectors,raw_DJTelecommunications_price.parquet,indices/dj-telecommunications,None,None,TRUE
DJ_FixedLineTelecom,dj_sectors,raw_DJFixedLineTelecom_price.parquet,indices/dj-fixed-line-telecommunications,None,None,TRUE
DJ_MobileTelecom,dj_sectors,raw_DJMobileTelecom_price.parquet,indices/dj-mobile-telecommunications,None,None,TRUE
DJ_Utilities,dj_sectors,raw_DJUtilities_price.parquet,indices/dj-utilities,None,None,TRUE
DJ_Electricity,dj_sectors,raw_DJElectricity_price.parquet,indices/dj-electricity,None,None,TRUE
DJ_ConventionalElectricity,dj_sectors,raw_DJConventionalElectricity_price.parquet,indices/dj-conventional-electricity,None,None,TRUE
DJ_GasWater,dj_sectors,raw_DJGasWater_price.parquet,"indices/dj-gas,-water---multiutilities",None,None,TRUE
DJ_Gas,dj_sectors,raw_DJGas_price.parquet,indices/dj-gas-distribution,None,None,TRUE
DJ_MultiUtilities,dj_sectors,raw_DJMultiUtilities_price.parquet,indices/dj-multiutilities,None,None,TRUE
DJ_Water,dj_sectors,raw_DJWater_price.parquet,indices/dj-water,None,None,TRUE
DJ_Financials,dj_sectors,raw_DJFinancials_price.parquet,indices/dj-financials,None,None,TRUE
DJ_Banks,dj_sectors,raw_DJBanks_price.parquet,indices/dj-banks,None,None,TRUE
DJ_NonLifeInsurance,dj_sectors,raw_DJNonLifeInsurance_price.parquet,indices/dj-nonlife-insurance,None,None,TRUE
DJ_LifeInsurance,dj_sectors,raw_DJLifeInsurance_price.parquet,indices/dj-life-insurance,None,None,TRUE
DJ_RealEstateInvestServ,dj_sectors,raw_DJRealEstateInvestServ_price.parquet,indices/dj-real-estate-invest---services,,,TRUE
DJ_REIT,dj_sectors,raw_DJREIT_price.parquet,indices/dj-real-estate-investment-trusts,,,TRUE
DJ_FinServices,dj_sectors,raw_DJFinServices_price.parquet,indices/dj-financial-services,,,TRUE
DJ_Technology,dj_sectors,raw_DJTechnology_price.parquet,indices/dj-technology,,,TRUE
DJ_SoftwareComservices,dj_sectors,raw_DJSoftwareComservices_price.parquet,indices/dj-software---computer-services,,,TRUE
DJ_ComputerServices,dj_sectors,raw_DJComputerServices_price.parquet,indices/dj-computer-services,,,TRUE
DJ_Internet,dj_sectors,raw_DJInternet_price.parquet,indices/dj-internet,,,TRUE
DJ_Software,dj_sectors,raw_DJSoftware_price.parquet,indices/dj-software,,,TRUE
DJ_TechHardEquip,dj_sectors,raw_DJTechHardEquip_price.parquet,indices/dj-technology-hardware---equipment,,,TRUE
DJ_ComputerHardware,dj_sectors,raw_DJComputerHardware_price.parquet,indices/dj-computer-hardware,,,TRUE
DJ_Semiconductors,dj_sectors,raw_DJSemiconductors_price.parquet,indices/dj-semiconductors,,,TRUE
DJ_TelecomEquip,dj_sectors,raw_DJTelecomEquip_price.parquet,indices/dj-telecommunications-equipment,,,TRUE
Nikkei_Rubber,commodity,raw_Nikkei_Rubber_price.parquet,indices/nk-tce-rb,,,TRUE
