Code,CompanyName,MarketCodeName,Sector,SubSector
8771,イー・ギャランティ,プライム,クレジット・ローン,ローン
2432,ディー・エヌ・エー,プライム,スマホゲーム・バイオ,スマホゲーム
3632,グリーホールディングス,プライム,スマホゲーム・バイオ,スマホゲーム
4974,タカラバイオ,プライム,スマホゲーム・バイオ,バイオ
8086,ニプロ,プライム,スマホゲーム・バイオ,バイオ
2749,ＪＰホールディングス,プライム,スマホゲーム・バイオ,バイオ
4549,栄研化学,プライム,スマホゲーム・バイオ,バイオ
4565,ネクセラファーマ,プライム,スマホゲーム・バイオ,バイオ
2931,ユーグレナ,プライム,スマホゲーム・バイオ,バイオ
3668,コロプラ,プライム,スマホゲーム・バイオ,バイオ
1414,ショーボンドホールディングス,プライム,ゼネコン,ゼネコン（土木）
1884,日本道路,プライム,ゼネコン,ゼネコン（土木）
7821,前田工繊,プライム,ゼネコン,ゼネコン（土木）
1801,大成建設,プライム,ゼネコン,ゼネコン（土木）
1812,鹿島建設,プライム,ゼネコン,ゼネコン（土木）
1890,東洋建設,プライム,ゼネコン,ゼネコン（土木）
1893,五洋建設,プライム,ゼネコン,ゼネコン（土木）
1926,ライト工業,プライム,ゼネコン,ゼネコン（土木）
5911,横河ブリッジホールディングス,プライム,ゼネコン,ゼネコン（土木）
5076,インフロニア・ホールディングス,プライム,ゼネコン,ゼネコン大手
1802,大林組,プライム,ゼネコン,ゼネコン大手
1835,東鉄工業,プライム,ゼネコン,ゼネコン大手
1803,清水建設,プライム,ゼネコン,ゼネコン大手
1833,奥村組,プライム,ゼネコン,ゼネコン大手
1860,戸田建設,プライム,ゼネコン,ゼネコン大手
1852,淺沼組,プライム,ゼネコン,ゼネコン中堅
1898,世紀東急工業,プライム,ゼネコン,ゼネコン中堅
3431,宮地エンジニアリンググループ,プライム,ゼネコン,ゼネコン中堅
5805,ＳＷＣＣ,プライム,ゼネコン,ゼネコン中堅
1820,西松建設,プライム,ゼネコン,ゼネコン中堅
1861,熊谷組,プライム,ゼネコン,ゼネコン中堅
1885,東亜建設工業,プライム,ゼネコン,ゼネコン中堅
1719,安藤・間,プライム,ゼネコン,ゼネコン中堅
1808,長谷工コーポレーション,プライム,ゼネコン,ゼネコン中堅
1720,東急建設,プライム,ゼネコン,ゼネコン中堅
1821,三井住友建設,プライム,ゼネコン,ゼネコン中堅
1417,ミライト・ワン,プライム,ゼネコン,通信インフラ
1721,コムシスホールディングス,プライム,ゼネコン,通信インフラ
1951,エクシオグループ,プライム,ゼネコン,通信インフラ
5726,大阪チタニウムテクノロジーズ,プライム,チタン・産機,チタン
5727,東邦チタニウム,プライム,チタン・産機,チタン
5202,日本板硝子,プライム,チタン・産機,素材・産機
5406,神戸製鋼所,プライム,チタン・産機,素材・産機
6703,沖電気工業,プライム,チタン・産機,素材・産機
6507,シンフォニアテクノロジー,プライム,チタン・産機,素材・産機
4023,クレハ,プライム,チタン・産機,素材・産機
5563,新日本電工,プライム,チタン・産機,素材・産機
3036,アルコニックス,プライム,チタン・産機,素材・産機
4028,石原産業,プライム,チタン・産機,素材・産機
5208,有沢製作所,プライム,チタン・産機,素材・産機
5480,日本冶金工業,プライム,チタン・産機,素材・産機
8801,三井不動産,プライム,ディベロッパー,総合ディベロッパー
8802,三菱地所,プライム,ディベロッパー,総合ディベロッパー
8830,住友不動産,プライム,ディベロッパー,総合ディベロッパー
8871,ゴールドクレスト,スタンダード,ディベロッパー,総合ディベロッパー
3003,ヒューリック,プライム,ディベロッパー,都市型不動産
8803,平和不動産,プライム,ディベロッパー,都市型不動産
8804,東京建物,プライム,ディベロッパー,都市型不動産
8848,レオパレス２１,プライム,ディベロッパー,都市型不動産
3231,野村不動産ホールディングス,プライム,ディベロッパー,都市型不動産
3289,東急不動産ホールディングス,プライム,ディベロッパー,都市型不動産
8905,イオンモール,プライム,ディベロッパー,都市型不動産
3050,ＤＣＭホールディングス,プライム,ドラッグ・量販店,ホームセンター
8218,コメリ,プライム,ドラッグ・量販店,ホームセンター
9842,アークランズ,プライム,ドラッグ・量販店,ホームセンター
3107,ダイワボウホールディングス,プライム,ドラッグ・量販店,ホームセンター
7516,コーナン商事,プライム,ドラッグ・量販店,ホームセンター
