Sector,PC_000,PC_001,PC_002,PC_003,PC_004,PC_005,PC_006,PC_007,PC_008,PC_009,PC_010,PC_011,PC_012,PC_013,PC_014,PC_015,PC_016,PC_017,PC_018,PC_019,PC_020,PC_021,PC_022,PC_023,PC_024,PC_025,PC_026,PC_027,PC_028,PC_029,PC_030,PC_031,PC_032,PC_033,PC_034,PC_035,PC_036,PC_037,PC_038,PC_039,PC_040,PC_041,PC_042,PC_043,PC_044,PC_045,PC_046,PC_047,PC_048,PC_049,PC_050,PC_051,PC_052,PC_053,PC_054,PC_055,PC_056,PC_057,PC_058,PC_059,PC_060,PC_061,PC_062,PC_063,PC_064,PC_065,PC_066,PC_067,PC_068,PC_069,PC_070,PC_071,PC_072,PC_073,PC_074,PC_075,PC_076,PC_077,PC_078,PC_079,PC_080,PC_081,PC_082,PC_083,PC_084,PC_085,PC_086,PC_087,PC_088,PC_089,PC_090,PC_091
重電,0.16748831106123072,-0.0554122543957221,-0.01831127950346742,-0.04045879426494865,0.011769401175007625,-0.05226241151964253,0.006613484819128976,0.018093419567172968,-0.0026384310847908238,-0.011091028830549403,0.04279877989431591,-0.03107222548848168,0.037934541708499386,-0.001684867813010433,-0.012378923447381462,0.020682557700012275,-0.011873090001581987,0.008008663440745774,0.004889234111249246,-0.007941434643648316,-0.016827567629581867,0.015285023658820729,0.013724327855180938,-0.011313599684104737,-0.010898871951183407,0.017277127460886273,-0.01719644974214103,-0.0379522438141101,0.0004295297085430772,-0.015605132124127563,-0.022836218840650166,0.01868422002223,-0.0017382214985247123,-0.0025975753955515797,0.021432190074254304,0.011338672750095006,0.03412464518870266,0.002595107535370041,-0.015497814804546052,0.042289988746685436,0.0017708223247107496,0.050630295777125106,0.01698297669974325,0.0008385379489006983,-0.034055172158110485,-0.018574560276699334,0.056144737725559474,0.007566713423513664,0.010512721673479209,0.02623401687120336,0.023808537293177966,0.005116623462795712,0.010349849860650233,-0.07252743801204276,0.002828393677031759,0.04252480346033344,0.04557300115266838,-0.0076928124422205,-0.04495646279906453,0.004901915001577255,0.0088542478744108,-0.011065560293126829,-0.0007827220403722242,0.041137050073174405,-0.08100459662744842,-0.0007037217451317179,0.10946068684139386,0.056267322794031384,-0.04238886901736123,-0.07685720325998198,0.04125726420339672,-0.0536248129437442,-0.052639729716665105,-0.05443873829664325,-0.017241445047873328,-0.02834284241075561,0.013356045970207127,-0.06974033296320753,0.0045857227223803435,-0.003160464431835838,0.018368545383267636,0.030259106559311313,-0.0012285448142185657,-0.005910060334197081,-0.016777583411348444,-0.014328881631968677,0.01044793974243125,0.008139973541361693,-0.0053425167811029,-0.009777953448932668,-0.00974920664579378,5.204170427930421e-17
金融,0.06817271483020745,0.1382070455650148,-0.14245087432117323,-0.07952977967790724,0.03174803953718096,0.12059151567267093,-0.0607422910407142,0.0578595100624704,-0.09868488897380856,-0.05803484904457507,-0.0036538790674855715,0.03298419865372718,-0.0016055147954347586,-0.0009890839280212275,-0.02954704646157035,-0.050621354589756196,-0.00824721697406295,0.027865815193109395,0.006152289804588446,-0.027103476642935283,0.006082665869886917,-0.013402974188989662,-0.007853415470889386,0.027971206144012682,-0.07634973026129317,-0.1342485033948878,0.007014361443126661,-0.048578128222759524,-0.0567744225460797,-0.01688895426194556,0.05288697800009428,-0.05959457875395234,0.0170234099527644,-0.010357317434217625,-0.039530807728871395,0.07229795345255342,-0.050044435083709496,0.06028780207703681,0.05043555063818886,-0.06308540804795358,-0.015578395060924913,0.03051625845549048,-0.01227300993322876,-0.06512504300126344,0.023601974297912356,0.003351498033348253,-0.009315304752524851,0.04670071385680721,-0.02230296531890658,-0.0032366018333936236,0.07002462211250295,0.020492914057610903,0.003972887171678707,-0.04063592654673259,0.03689193678962117,-0.10518560498259893,-0.0259349488966528,-0.033962959822847937,-0.06526212371467724,0.02759865382910697,-0.030760464300180333,-0.03144845342280909,-0.01300332395056078,-0.05541137448014857,-0.0025344107773948403,0.03188090004750412,0.027764840971976488,0.008461643066472223,0.01700114612700677,0.008609505182192553,0.01179649429623224,-0.03266366869712575,-3.880732991152179e-05,0.0014890046291659454,0.019899771590102464,-0.02768045464149601,0.015450761207417198,0.01738408269527151,0.001088350050778772,-0.009072104768116426,-0.006096989468471561,0.005126361752300893,0.0017798527179925302,-0.003568088075291234,0.00726353695850813,0.004763662116028387,-0.0033987498381235484,0.00999458353604736,-0.003147613210789071,0.000641100043352797,-0.002983199129478785,-2.7755575615628914e-17
鉄鋼,0.3236423274422422,0.06490555262450858,0.13089968623224427,0.06201328843962699,0.012333222073644536,0.04162567785568161,0.021918531486169,-0.05417392007021094,-0.012777649847681427,0.03065850903659026,0.0587986838905781,0.051493434818316954,-0.08699995471464067,0.023466858780157702,-0.005090734567572849,0.030428044739380954,-0.0030189956060422685,0.01258313454518439,-0.042267537802536136,0.024383821592038123,0.031041177316307098,0.02457264116472095,0.00452275334479087,-0.08994728437118424,-0.04760063995049386,-0.04710726053064486,-0.016420751183663203,-0.07965418053466097,0.02643492997727423,0.10327836899265443,-0.006587119179903246,0.006078322119313993,-0.03258270984655558,0.007549495015074532,0.03396479749512096,-0.18332605675867816,-0.14447362688559245,0.005993768372826299,-0.01660438242380543,-0.06380271670739256,0.05202665212879563,0.05188690817375907,0.02800072550341027,0.0023435664691073247,-0.06593892030637127,-0.03175070547307776,-0.030212380229836872,0.05107149945186283,-0.03342573147874953,0.00441588335030358,0.00467911151152015,-0.0014827539257033714,0.0054126276269959835,0.015130393115665358,0.01629628435129976,0.0014350284965672574,-0.010968841009265285,0.0013801578731303973,-0.015660212185715592,-0.038003672901761563,-0.012491922220131124,-0.004952977353687989,0.01795616653369097,0.04503673003829002,0.013627554591026235,0.027760560892480635,0.02634182696723436,0.010276344490978544,-0.0022745600850099168,0.015671052413865183,-0.018936182421716283,0.009329333644620064,-0.004054085781655222,-0.013593080468178276,-0.021352900570405734,0.0011662539441842368,-0.014634222615849127,0.016004176446686186,0.010054083851755512,0.012144111584454258,0.008135658471971244,-0.013793502178855978,-0.006777387633488624,-0.0012194174771321398,-0.004076693869060417,0.004502987525588181,0.006651771172420672,-0.003938453041147412,0.0019972723556649884,0.005978556722868416,-0.0012952948406820316,-5.204170427930421e-17
陸運,-0.06258880593998498,0.016385165641474173,0.011864748414449237,-0.007732584428858196,0.011760765089506256,0.015692598767437803,0.005004489070982221,-0.08220746660090994,0.0468170393828826,0.0035590277601243517,-0.0389583654896512,0.0019435184950479314,-0.010706893359154639,-0.004560174996474129,-0.029358675944737945,0.03186777292735885,-0.030090534182037623,-0.0004853531586069028,-0.0027929640793697536,-0.017832577342796405,0.013265653453996811,-0.0005597844341848901,-0.010328784710292468,0.01779405508107417,-0.03113342424179207,0.005065951364239429,-0.01935182375887161,0.019935127085305267,-0.00585055897444065,-0.05058018188344515,-0.040979597847125154,-0.0474500518642013,0.052477136915360614,0.03450898533849405,-0.025767570175363415,0.017233085695081606,0.03245296281551907,-0.001859314446713764,-0.06338012618783413,-0.019685919734623004,0.05247837075466213,-0.02230810422466891,-0.07388046334579267,0.08225648539928788,-0.07339045020921159,0.031212621634544115,0.08240956815912005,0.07553034869532763,-0.12777016680912034,-0.018377879480670274,0.03868005066297374,0.06414773228786944,0.05680156998790527,0.054270960412639915,-0.011009011068182797,0.007257648529687924,0.01388001380108276,0.021293298762996148,0.007084771504141232,0.049201925762185,-0.08055349023710304,0.009894233131822503,0.011366912140958517,0.027143831026585692,-0.024566015348979505,0.017468668270773178,-0.016371042280526066,-0.057213383913893294,-0.06495266976904636,-0.01678949148813745,0.020661322002325715,0.0031897303809742573,0.01249757263285687,-0.0018943256504737205,0.0009639077455494867,-0.01335244633775298,0.014705188585003227,0.0169038245733989,-0.007974113656968498,0.002494731750279977,-0.028831178309532014,-0.005729166903142199,-0.001626455815392983,0.0015799239145551577,0.011625603697084338,0.0006107832993800695,-0.009341118004398428,0.005060414702939065,-0.0002823052663203582,0.013677085657113393,-0.00037711415755367714,2.42861286636753e-17
電力,-0.05412436764179723,0.12671334450094476,0.10742440990039628,-0.061135677333150354,-0.00830946524315311,0.05892057431580028,-0.0017508440611091608,-0.05018278168280794,0.0223251304567467,0.039701099063605236,0.1295362706781441,-0.08218793923340434,0.17172023263514025,-0.05137690816950108,-0.1343867534511878,-0.10056499818531817,-0.025481350104682866,-0.12126766771483509,-0.16847384637089208,-0.02029731930577026,0.06742584611256158,0.09002107540085066,-0.07796284016262256,-0.033209916080298676,-0.04259189907424206,0.05108950326796046,0.02111640124077015,0.024887517311530917,-0.03334169605557507,0.02172472459815696,-0.05791076445815635,-0.00022541237632601324,0.03343117498347068,-0.016174228249387287,-0.0610081572724296,0.04143936710890333,-0.016656684109399626,0.03757837638821016,-0.006136410095614319,-0.025784219958112864,-0.029585442059318547,0.09482113091266685,-0.02487193687624146,-0.006072760665931317,0.034479337514467134,0.029035309407753177,-0.02920285489615714,-0.013112293506208982,0.007474753026813752,0.0012147933530147342,0.039374594631077994,-0.028525054236984825,0.006635180223887668,0.03595237863596492,0.005543996924786897,0.055725030379322325,0.029438875293938623,0.016797571814952287,0.018241412969271835,-0.010502059175282137,0.03716046010197721,0.026860840211631407,-0.03252179268859443,-0.001033314916757269,0.0022956509175888974,0.011662130978039947,-0.0027673030811908696,-0.0042725629388957066,-0.010422927393915402,0.018972275993514524,-0.004741631650339117,-0.012510211014001498,0.002175356939003861,-0.006168696290479099,-0.00047871738220757465,-0.004877233488754339,0.0022562260126233863,0.015095628788376232,-0.005585960733870264,-0.0008768594260215416,0.007425952642288021,-0.005089544003289928,0.007750014437044619,-0.010629225417185587,0.0005286771210495592,0.0022244488470436995,0.00023984546267781428,-0.0009116627347161115,-0.0007189744541116231,-0.003337466804676313,0.0014559072294772846,-9.020562075079397e-17
電子部品,0.09936049334565972,-0.14225204070272002,-0.06577101945850944,-0.03640590874966554,-0.014132396909176212,-0.00800567663291691,0.031197531995924052,0.015334330373846858,-0.01641045695141874,-0.025348410852254477,0.020756789123427904,-0.027064309743007317,0.030427155955904304,-0.015776908070506954,-0.005206285524631645,0.036143246681101956,-0.016258221866387763,-0.0008874855505092497,-0.00067246088410667,-0.05536171100207882,-0.0022714066512417377,0.004251783274206569,-0.0047100498569493734,0.004753875771103226,0.022547792263696537,0.005064424388185176,0.023225798168474105,-0.009013570377566033,-0.0021142399620255265,0.015601772110202174,0.009005233532946662,0.02164428616895087,0.0034865800907302584,0.007021698106474765,-0.002714167364667895,0.004395105467242604,0.003424066504121727,-0.018209709155599278,-0.009980500713760535,0.01774055308874734,0.004031674977382015,0.012994880563694803,-0.004560753943285263,-0.0009899934792791379,-0.024324446750494583,-0.0025874454806976708,0.03454093563458202,0.01808265286957935,0.027593476765651475,0.023520776202495913,0.04022272088893594,0.01270380882606515,-0.00941563303308846,-0.029183073646496294,-0.009835566611289242,0.007206162144057584,-0.007841036554680516,-0.009932130905347974,0.0020772037795355924,0.0002471999625984836,0.038859007123067175,-0.009444474131757526,0.007928150197708267,0.0030369662790003405,0.013991381063463107,-0.01323974340050858,0.020518771100225194,-0.0057563275190818716,-0.003725973279731403,0.026285442256435025,-0.01385978026339601,0.0025087367102896996,-0.02977448402048489,0.00480530671705934,0.002463503147788565,0.038546962252834216,0.06348343333790163,0.06837412835925144,-0.03605888511368161,-0.05171109788719552,-0.057318264589170165,-0.07513016987352447,-0.09903584288771292,0.04805953978828564,-0.033418615031454296,-0.024441409238369963,0.03394038865693998,-0.012468616286127747,0.005368201258781146,-0.03220682031739294,0.0038570292616459515,4.5102810375396984e-17
電線,0.21839388069588248,-0.07276702762015116,0.06139858551254197,0.11927020615217168,-0.030219307190240123,0.1021829804713755,-0.017553846473718285,0.1039331275185888,-0.019740180114724795,-0.08252520212725048,0.055026769868010056,0.07261339671873854,0.06234944266018415,-0.02396644668617927,0.05417492580617256,-0.09468029159352294,-0.09062186907243175,0.0069239998340588135,0.018162350353631607,0.0376625289952324,-0.03630739165100853,0.09071691453579472,-0.02315323504139464,0.1901238815711395,-0.026912830079676174,-0.04340567484391951,-0.03833113039057601,0.050241765094348904,0.06557565741007548,0.09591887117612331,-0.015298098636044902,0.07322388350152771,-0.06035782627837787,-0.12934905434168287,-0.036158512043986096,-0.050783497277009676,0.059251359246130536,0.08110351296721252,-0.007681281357383175,0.022298046056367763,-0.018680465554577155,-0.08079331886385407,-0.042384433725798865,-0.006044754008260562,0.009527023678528156,0.0146903227718344,0.02778845758995335,0.030424865728816176,-0.020791089988158457,0.030118776189263383,-0.015114198445885865,-0.000181233542791686,0.0002415032114759276,0.031896247766811395,0.014017312110453496,0.006775503448615307,0.010932795245554626,-0.0018887961997718031,-0.008951701899894676,-0.00840467076381888,0.009525627947604875,-0.017434540938078787,0.0017710753641414084,0.006147124637073682,0.002902366527494082,-0.01421828011324958,-0.0015519279604575891,-0.01142307375171814,-0.011554198403808695,0.006823749815859932,-0.001228215298789723,0.008161842388790964,-0.009403441829604273,0.00035288288079983986,-0.008346344728282492,-0.006132999414400753,0.009683083535700642,-0.008200525144331235,0.018284910989407023,0.00015266943794431734,0.00440840579533254,-0.010144304202607576,0.004239509418208602,-0.00239763986285017,-0.002714762031851767,0.0023710075012384375,-0.002966783321003104,0.0037666488124405064,-9.761783298774425e-05,0.0025362200574467115,-0.0032662978623673585,1.0408340855860843e-17
電話,-0.12929217639478988,-0.004780187744942613,0.046692775079349685,-0.05462444157020785,0.08981032650083597,-0.07100969003308169,-0.0009549070479506622,-0.024141763218377146,0.04580167011589737,-0.04005237025815409,-0.00584023656639647,-0.07122569920815511,-0.017953692725567953,0.02666895778478555,0.011985065546916463,-0.003782091455535319,-0.009383407074266534,-0.01145716895683058,-0.05320637966075794,0.0092859006600516,-0.04388132835838636,-0.06283798868083942,0.06619637337160754,0.033159000481840506,-0.01073988939504505,-0.08165236956841797,0.06542355659327914,0.05961787257127311,0.01634817775182014,0.07125049540121858,-0.013485896675297324,0.12802823762329396,0.07220016215717445,0.056335183773096514,0.03185791003758111,-0.03784398409355635,0.13340603755086267,0.038629677615960145,0.03679610449937466,-0.07129182909455999,-0.04574751145391606,0.04042236936757698,0.03765438837194361,-0.05255380763722278,-0.007011048717639617,-0.03439843036875145,-0.03532821082404642,-0.08870614665099147,-0.03823843321807879,-0.06939182545963231,0.029204522531315,0.06090610734947174,-0.027493628440469715,0.030944999222591245,-0.004339412809761443,-0.01272274098254516,-0.0446184720044348,0.0001662525812652989,-0.015251898524824739,0.00012714892036552045,-0.02603883790788481,0.0010872292171537276,0.021873735849886604,0.04042073390026031,-0.0008586033828417621,0.007680447460422098,0.025376086569875073,0.0119190729120882,-0.04004660345016639,0.020090489911735208,-0.02360712271474722,-0.016648570035018895,0.0018274980531872683,0.02629055868816526,-0.00907348427569072,-0.005663539164420859,0.0057838326237378435,-0.004242238812469077,-0.004320070326959913,0.011522553880495456,-0.004004038262372247,-0.0010034193881236749,-0.0026523658056531747,0.0019379223257758108,-0.004767870889168725,-0.009734509317222757,-0.009260539499140411,-0.010453180806875602,0.010574063042383574,0.0020533009384011577,0.004184143161809579,5.898059818321144e-17
非鉄金属1,0.2940555424368687,-0.09616225815662174,0.07883096620474422,0.0700861647905908,0.15742304210008312,0.08458767623077892,0.00913742209298625,-0.11924242897513065,-0.08947325028608843,0.019353983310764288,0.17693723745589143,0.03101373632118839,-0.25429820804147013,0.030019362186624633,0.01368019780021315,0.006945193719222781,-0.042303574226156604,-0.030412244409559867,0.015497419673250315,0.015611203233320558,0.06912688628850266,0.0977096744457995,-0.0340098335822171,-0.040944860808120216,0.00609956487052339,0.004422439528643594,0.06237627002925028,0.014148734268273958,-0.05931702478649633,0.046301395099296774,0.03795737470794747,-0.04995106311254913,0.019554396305527626,0.041535094913030875,0.014536494709639226,0.11642204270877653,0.08239550725311359,-0.007743995413075213,0.002707474029045743,0.07704050982323493,-0.04189648210718201,-0.02036878066291509,-0.010280665017516642,0.014795118735973015,0.007435690384790192,0.019515708068912584,0.03112258107369498,-0.023752117296986515,0.00790095557372067,0.01707879488824907,-0.008881160481883166,-0.0020274263335592208,-0.022962547002314336,-0.003931797110697242,-0.013285589903130219,-0.0008956861579318826,-0.01741543803991845,0.017748679973599527,-0.019523673801302585,-0.023177721308504845,-0.00904457587856794,-0.028726601204684406,-0.002063539278880976,0.010123134901761213,0.013737665565952347,0.018886458806283004,0.005035881616411224,0.010936821300609408,-0.004106876843782666,0.009911763747117087,-0.0065994428815189495,0.007820014027654712,0.02141710705622358,0.004843871288198144,-0.017250913169999178,0.0018321081238867514,-0.018864382550810233,0.00968444143171521,0.004314261422062527,0.009237836995301854,0.005951191797814632,0.0020340349197043705,-0.007106839568927223,-0.008321348422796592,0.01428480163561578,-0.0007621659958442877,0.0028504348360051637,-0.004243299768033301,-0.0016771981062638384,0.0032466101887450023,0.0017062277003059246,-6.245004513516506e-17
非鉄金属2,0.15677566772331875,0.013002108180958254,0.13050370180185833,0.030554240830621422,0.05188276513980693,0.025173610762809467,-0.013630791504864737,-0.021374187835507763,0.03738622693936013,0.018747251754913836,0.0637418019672737,0.009541573296571342,-0.11455293072765982,0.018414082932359292,0.013310700815372195,0.0060438422750652785,-0.01067888920055747,0.00722144268935229,-0.0008688206468453262,0.0105843930552753,0.025356915356197312,0.04463320702324121,0.004894425091455287,0.014671530455633202,0.013956224648395972,-0.03669913311664151,0.03520316691050712,0.008562398480517215,-0.0030156514360568315,-0.010247664440380118,0.04237210380608302,0.02497720890832108,-0.019192452910508875,0.015267852853177725,0.07267632544670545,-0.03631304325417697,-0.01866759135008434,0.019347835379209363,-0.011236585133764366,-0.018305018174331653,0.04402111641996095,0.007251740070490807,-0.008106676913738182,0.032213605367578224,0.03548995125272826,0.03323246591335101,-0.08496690462341668,-0.015177938771251093,0.0510261589681493,-0.027901661049642874,0.015426094242341457,0.0013838958615253194,0.029344147742456347,-0.004811852025792464,-0.007749947092163951,-0.025302509164398364,0.01815016113103978,-0.049531368092844814,0.010660175128982687,0.08862136600530827,0.032119736024957955,0.08188955347674727,-0.032866855918710386,-0.04726054503124554,-0.057407802262496394,-0.06342023569225311,-0.04049750166254972,-0.06075541604748052,-0.03298992037392398,-0.04027560271652314,0.025370688626359446,-0.03196826610064725,-0.055525196052775894,0.0345868795257237,0.04266926954243362,0.020675439153985304,0.025314380679593265,-0.01896479801109443,-0.0004192943018067677,-0.022251732333125475,-0.018921791868403967,0.0020621432359346466,0.0251178037332954,0.01282926266536934,-0.01075362276978964,-0.005603660769911062,-0.007729183258013496,0.002608299421148522,0.006898487785136833,-0.007389385054831266,-0.0008833925486003069,-3.469446951953614e-18
食品1,-0.27254345350281806,-0.025303754707704806,0.05715439932695453,-0.01268730340985692,0.00919279269794579,-0.045581526750945796,0.010636425964217634,-0.0525875736862479,-0.09594938381018339,-0.04069040536418391,0.025571040477609146,0.0009689427359312816,0.032879062795357135,0.02693748045469014,0.03230901394520173,-0.03451947279466656,-0.02465658705042221,-0.0005490425997697968,-0.030771622602738708,-0.008729611517853782,0.0009156288768903467,0.026824435613923614,0.0003633131511228613,0.001671933096025752,0.038071454994290814,-0.03880408405417886,-0.024367618829344677,-0.03824505342465948,-0.020710973598408438,0.006750461972153905,0.015309218927789019,-0.0038095100666695747,-0.06850904344116142,-0.059747247817081385,0.0035111411017950955,0.018648598949180306,-0.003153306368885757,-0.03053550065070112,-0.03461620893715056,0.024637077126652213,-0.02926427048076726,0.06810217706373085,-0.02055344124208592,0.023839654744450857,-0.06580789975608992,-0.0007722227427302787,-0.0036657470340323156,-0.03100181854764547,0.020834113849034074,-0.0049405678280602175,0.001239948504253124,0.002330027196138361,0.028798049908870978,0.04166024425282202,-0.06113782621241301,-0.038168387524687965,0.012441071110838394,-0.05845713443637164,0.009023171490710998,-0.026450308687896593,-0.008717317069916623,0.015678391245275102,0.12374482933520492,0.01953652146169451,0.0383250904862712,-0.043041503537087994,-0.003808389331864586,0.0031170548760670776,0.04035804057997559,-0.07220565767224171,-0.0004989192578533181,-0.025747894753588973,0.03589068080070258,0.0352208910858807,0.04840460791353514,-0.08060643397075615,-0.029691315383786346,0.01797657746847876,-0.0020207163045539017,-0.015091891257103996,-0.01388833139219109,0.008039161632957675,-0.006564526949515618,-0.004322125690657458,-0.0065005454615953175,0.0008744492703458805,0.012145531579013883,0.012506734137984536,0.008984866308581411,-0.013222490676550073,-0.006378363767800012,-2.42861286636753e-17
食品2,-0.14282271910357586,0.08677091257434183,0.07466102012599163,0.1377520971198808,0.06379105900268289,-0.05525529234981705,0.010848988368251523,-0.0678097925861332,-0.1694999289869704,-0.008695845814998784,0.057686557553992386,0.10306848321280376,0.11084041448739447,-0.13416497366067595,0.040376144348950635,-0.08290702769989411,-0.04051321575355178,0.09919586404736684,0.07584189410946851,0.07824081879458454,0.11659520579998156,-0.14129651480277086,-0.05588230639671287,-0.011752663641100586,-0.10601257646569871,0.11656524190910734,0.07771679419346805,0.02751794852883229,0.06094817001045593,-0.0553652965534468,0.027406749117052154,0.026340695018152997,-0.04307864916170274,0.0755401971026652,0.022012570705328423,0.02763347610523026,0.021693393223496723,0.03455612788290019,-0.03377793863998217,-0.01075705494401575,0.036769370825959234,-0.0033025139679348746,0.035285832178105034,-0.02145749634757193,-0.02542877973329659,-0.04388549965273131,-0.011603887734260923,0.03655027187742252,0.028825914137642458,-0.0193392813418631,-0.0028235131076733305,0.020290403251686497,-0.002233656816095454,-0.00529183562911342,0.0032032727674119717,0.006924151519317863,-0.005596809219939654,-0.0010857189064295584,-0.01465030204647498,0.0022497089690911645,0.013931002084930366,-0.0068118887994575335,-0.0050890684153696835,0.017010345200273603,-0.0022236249067501017,-0.02011634231700816,0.0064818589590102576,-0.00733410012132355,0.0067475046337706025,0.012944361812898734,0.0019988835348980607,0.0013291465300518009,0.002141995474792684,0.009917416078760413,-0.002291035820305709,-0.007567527573994199,0.010035695366570719,0.003863551939148769,0.0017962332880212643,-0.0033530785293338587,-0.0023543089838355194,-0.00404837526356689,0.001996022009141939,0.0010024685831839485,0.007308401969535404,2.8929066830492983e-05,-0.0028545588606814437,7.112392244728455e-05,0.0025661804864080652,-0.0021103952877449183,0.00023598074110684712,2.0816681711721685e-17
食品3,-0.12860312458637835,-0.0013541373970226561,-0.029449360587158295,0.03257594454580175,0.04966336929410725,-0.0853559692002024,-0.005052442765831416,-0.07605685158210415,-0.03221365197809033,-0.03587144909456343,-0.00848109608268268,0.039992336993191026,0.025404662571581076,-0.0032447489368515395,0.029967182640537618,-0.004308897973551159,-0.03029117164239238,-0.007216443498273686,-0.041070787000921774,-0.009495858432206194,0.008116603455644859,0.01753911755165466,0.006481641700364605,0.019092528693353303,0.02176994630522883,-0.013410455877012957,-0.008954046507034779,0.012469474761309947,-0.018391871398602294,-0.02076302672304448,0.02869190078490627,-0.024060956536573037,-0.016014968295713135,-0.001266834294279773,0.015506105995805864,-0.01347202015220359,-0.010321338489047732,-0.019992360526739802,-0.005398790420710705,-0.01953083249861365,-0.013321445007017721,0.0020929526673554265,-0.023543826750387686,0.011502176829862102,-0.0010072966243227753,0.016093615100574707,-0.0062187541404067626,-0.003230306752607815,-0.005239767492780524,-0.006172047176147045,0.008509597627127798,0.01706968819015167,0.0003223652197259074,-0.002011803727613606,-0.011851345003663881,0.0020989920262412635,0.009025701743975333,-0.006886274625813918,-0.026864747782959737,0.0078198992825954,0.0049552329776914004,0.003150150776819908,-0.0002340739041211664,-0.028492532034263832,0.02995997349437444,0.025488818816482822,-0.0016982293842923851,0.0010783268698104052,-0.000783699467264135,-0.03523603525183162,-0.022436151157044622,0.019268451521065145,0.009148600307299727,0.01056596532198759,0.012186309627628114,0.03962640480754899,0.023601645169476958,-0.03925888144633424,-0.013967497052378236,-0.0233773678010536,0.08978009418673913,-0.030994024866818362,-0.0341076556746314,-0.018338994979993452,-0.06704727467227829,0.0026156643705310886,-0.029843369711880747,-0.04983186487831522,-0.08552028293261393,0.0629137080009901,-0.006024815635355274,-1.734723475976807e-17
食品4,-0.29318521850148965,-0.009045544441784563,0.07382932890436728,0.013047851659132853,0.01049802278619856,-0.04876215796020182,0.023702573490730093,-0.04589586176331074,-0.11136770508867044,-0.005424140675962998,0.027744685447507262,0.021621903701410282,0.007433182163745659,0.007619923204672087,0.0014529715258669966,-0.00021696575725842562,0.0075563381830208096,0.004590636494021051,0.011926554212567329,-0.01218319830081633,-0.007700513009536707,0.009851465124864033,0.04347664393547944,0.011485617787577338,0.003041749941421947,-0.012660449653640757,-0.02143107075396867,0.009635103816918428,-0.042479877988841036,-0.0020200829821613196,0.006282583799668878,-0.05520566260014535,-0.04448629675373097,-0.03446015347007533,0.009657438981806193,-0.03530033534123713,-0.013105748413593486,-0.022693779633586906,0.0041809328336108315,-0.015266385090018488,-0.0022914762107040104,0.010730545911221072,-0.0047070412204127735,-0.011578800916454078,-0.021730336685106245,-0.004784863644561148,0.0629993250173836,-0.07065945630844656,0.012068641078848325,-0.013637106970801567,0.03724233557265083,-0.02684924732194502,0.00036962210498903657,0.06864190064688219,-0.006350930111093257,0.004315274790686906,0.028267853447693014,-0.0027868166377112385,0.005819529068556933,0.0061536501706217946,-0.01327083141908628,-0.02849146174718832,0.0006855176945385327,-0.040222363353005414,0.06411785089948258,0.05868835460962499,0.03139694765969995,0.010006387073621014,0.008314510704572106,-0.0014966488461004082,0.038058958408693416,0.027157049142142405,-0.07073282315195017,0.02381253441810565,-0.03555728655984493,0.10020952492643738,0.07007383360656698,-0.02475075258922623,0.014612540149887634,0.0072543681647762,-0.04177025808724445,0.04166307041902116,0.03519274690678522,-0.004715251557756732,0.019236975635530174,0.01400668109120448,0.010554660527390966,0.005968276049114794,0.0172945125319185,-0.009801253820230034,-0.0018886065358421729,1.0408340855860843e-17
食品5,-0.32564947773066516,-0.03530411233347563,0.11738966971037842,0.09532774785927202,0.04802578047854402,-0.02650427644214387,0.02396067742003994,-0.023083387445802066,-0.19397620043779884,-0.04579048911858415,-0.003336572503799984,0.017061435080062158,0.030104800244191154,0.0323014653936191,0.02445935165417485,-0.10247083728153523,0.061312789683904995,0.02240585300287244,0.05918037411224105,-0.03330056631206708,-0.021992433445099914,0.09943648862144203,0.05408188057457305,-0.02715833564671237,0.10778722471181189,-0.017448335795204238,-0.10439797046627394,-0.07516289237353643,0.08893739925967889,0.003156069539575479,-0.06034768982884957,0.006691338612639958,0.22169052247087198,0.014052879903562802,0.04427437778194376,0.007475606562318193,0.0008625328280601474,0.014807460568914113,0.033299745483447885,0.018121494401761196,0.055236580304195336,0.0009630963827995664,-0.03109362360804918,-0.019356850551863605,0.01368765739978437,0.015287152649601173,-0.03666779413048385,0.03201777798029317,-0.008663843984715055,0.013970564642295052,0.003017174744454871,-0.009651693218597015,-0.008200003967496651,-0.023128003147413975,0.0042141796858692245,-0.005522282180747941,0.0034369901618592586,0.007898348129222358,0.0026135103584242333,-0.014578209721702817,0.016864023842787616,-0.0007108736821601867,-0.009286809644961293,0.0016705450942533359,-0.024373222428766123,-0.008103718216496426,-0.0026807360113795036,-0.013431981804952248,0.008325007336244562,0.01800838998419536,0.004624710390602926,-0.0019529488362958827,0.0022881310099130358,-0.008269367464316878,-0.008554552688625403,0.005571629075049057,-0.008441113159863414,0.0032307789715922894,-0.0038229835121539116,0.00311808331563046,0.0011422403365312778,0.0005152669850180839,-0.002161488012247503,0.00829154465669283,0.0014853161410574127,0.005787248786912433,0.0020665933013229287,-0.0003232240411700799,0.0005526456991795034,-5.2239811235361804e-05,0.003466827578071623,6.245004513516506e-17
