Date,Target
2022-01-04,-0.004734407133124199
2022-01-05,0.01851639234389104
2022-01-06,0.008212126137218008
2022-01-07,0.002579770138140935
2022-01-11,0.014524059661556237
2022-01-12,0.003701328744974504
2022-01-13,0.019056668756500722
2022-01-14,-0.00122070638923235
2022-01-17,0.0032338637851441992
2022-01-18,-0.004499900984184877
2022-01-19,-0.002372624605634282
2022-01-20,0.007104112615371583
2022-01-21,0.006744251491059434
2022-01-24,0.00766816198461793
2022-01-25,-0.014984724297731419
2022-01-26,-0.002568923290473958
2022-01-27,0.018001330187385384
2022-01-28,-0.0024441003559741376
2022-01-31,-0.0034906100561476034
2022-02-01,-0.0032472997473043403
2022-02-02,0.00019115604352924363
2022-02-03,0.0034399733262336653
2022-02-04,-0.008771437594927066
2022-02-07,0.01511613238800986
2022-02-08,-0.005936912035679811
2022-02-09,-0.0003267683864490005
2022-02-10,0.001061764517252016
2022-02-14,0.0072315653169272975
2022-02-15,-0.01132783652961901
2022-02-16,0.004100139364047787
2022-02-17,0.004648145029170733
2022-02-18,0.011262032342592173
2022-02-21,0.002781779146455271
2022-02-22,0.01231942422097829
2022-02-24,-0.006462020152687903
2022-02-25,-0.0022358840621996843
2022-02-28,0.006107716982210231
2022-03-01,0.004168494897414774
2022-03-02,0.01191363026139932
2022-03-03,0.0037541946900388834
2022-03-04,-0.000860225450373154
2022-03-07,0.006979714898323365
2022-03-08,-0.013945310409390335
2022-03-09,-0.00021242631908247132
2022-03-10,-0.017240411431119946
2022-03-11,0.014589825520821493
2022-03-14,-0.004343074447082694
2022-03-15,0.011015908583253119
2022-03-16,-0.006262004143132151
2022-03-17,-0.00814781742481147
2022-03-18,-0.0021421682341146
2022-03-22,-0.0003921404190635497
2022-03-23,-0.0056520103210699665
2022-03-24,0.0018914992761488736
2022-03-25,-0.0016035411365304913
2022-03-28,0.008882692299227994
2022-03-29,-0.0028809021443383315
2022-03-30,-0.006119402936057523
2022-03-31,-0.002086268231314325
2022-04-01,0.006626811265225919
2022-04-04,0.001109097276889402
2022-04-05,-0.0012181344510764135
2022-04-06,-0.0005337436356330742
2022-04-07,0.004461963481652835
2022-04-08,-0.002807384366302322
2022-04-11,0.008442722246320004
2022-04-12,0.0039924219655355555
2022-04-13,0.0026395944201179425
2022-04-14,0.0039211221916853325
2022-04-15,0.007305251954892876
2022-04-18,0.009114436363627125
2022-04-19,0.009207167087465155
2022-04-20,0.0021281293550626593
2022-04-21,0.007284404064493575
2022-04-22,0.003502829050112558
2022-04-25,0.004916494485931828
2022-04-26,0.008373757862256604
2022-04-27,0.002894045481715327
2022-04-28,0.0013470642849489015
2022-05-02,0.0035754855956881926
2022-05-06,-0.0007816346584402147
2022-05-09,0.007692825630694058
2022-05-10,0.016522679341293523
2022-05-11,0.006544273089962485
2022-05-12,-0.001129513002673625
2022-05-13,0.005915310990762953
2022-05-16,-0.004923885721064983
2022-05-17,0.0025829514659190377
2022-05-18,0.0036843313587770505
2022-05-19,-0.010072807977514694
2022-05-20,0.012008819949988222
2022-05-23,0.01375544518107204
2022-05-24,0.0037107222367013712
2022-05-25,-0.004788722229238882
2022-05-26,0.00401062257231893
2022-05-27,0.004714387364989447
2022-05-30,-0.0019579319854103857
2022-05-31,0.00019285303448141988
2022-06-01,0.009851097013294341
2022-06-02,0.00489801178088722
2022-06-03,-0.0001927516672762243
2022-06-06,0.0013287137794800211
2022-06-07,0.007171359078358712
2022-06-08,0.006326593489689211
2022-06-09,-0.0037613224658360187
2022-06-10,0.0022743879634379532
2022-06-13,0.0044723395760777095
2022-06-14,0.004628580526449074
2022-06-15,-0.0006280712318474436
2022-06-16,-0.016342378011966485
2022-06-17,-0.0008733667328806199
2022-06-20,0.011963955613258739
2022-06-21,0.004938678687800739
2022-06-22,0.006146755068348903
2022-06-23,0.010534451763864432
2022-06-24,0.008638456634935777
2022-06-27,-0.002238935415487888
2022-06-28,0.0009935832233934603
2022-06-29,-0.004943571873962149
2022-06-30,0.00487468141646457
2022-07-01,-0.007635512279531596
2022-07-04,0.0012730370998384922
2022-07-05,-0.0068330422155178875
2022-07-06,0.010865678734601189
2022-07-07,-0.0016870075232773944
2022-07-08,0.009575303437101387
2022-07-11,0.0004892701055787185
2022-07-12,0.002449702695466515
2022-07-13,-0.0019368402757243175
2022-07-14,0.0003855414529480329
2022-07-15,0.0019288759104321021
2022-07-19,-0.0031155818103177566
2022-07-20,-0.0019440256171031063
2022-07-21,-0.0005187815630872149
2022-07-22,0.005406463958636599
2022-07-25,0.0002583892819710996
2022-07-26,-0.0014484790371323822
2022-07-27,-0.0010516622682718477
2022-07-28,-0.004838796183809011
2022-07-29,0.005468562176987399
2022-08-01,-0.0011672369586810463
2022-08-02,-0.002493574094202528
2022-08-03,-0.001496495905454049
2022-08-04,-0.003224320788466203
2022-08-05,0.006144953825274999
2022-08-08,0.0047484349177663535
2022-08-09,0.004153180759837845
2022-08-10,0.007928884576642196
2022-08-12,0.0014695059276763872
2022-08-15,0.0037421798130595737
2022-08-16,0.004686258435183266
2022-08-17,0.003557871983196716
2022-08-18,0.0003365990906780904
2022-08-19,-0.00020839862504690035
2022-08-22,0.0015935991386861622
2022-08-23,-0.003451793751270128
2022-08-24,0.008568838310280848
2022-08-25,-0.0022617741548522285
2022-08-26,-0.004125199616417608
2022-08-29,0.0022988596439598905
2022-08-30,0.0008532854434997834
2022-08-31,0.0011732939505289274
2022-09-01,-0.0013602491187763941
2022-09-02,0.0009535991653778224
2022-09-05,0.005019294559500018
2022-09-06,0.005598943693479859
