Code,CompanyName,MarketCodeName,Sector
1721,コムシスホールディングス,プライム,ゼネコン
1951,エクシオグループ,プライム,ゼネコン
5726,大阪チタニウムテクノロジーズ,プライム,チタン・産機
5727,東邦チタニウム,プライム,チタン・産機
5202,日本板硝子,プライム,チタン・産機
5406,神戸製鋼所,プライム,チタン・産機
6703,沖電気工業,プライム,チタン・産機
6507,シンフォニアテクノロジー,プライム,チタン・産機
4023,クレハ,プライム,チタン・産機
5563,新日本電工,プライム,チタン・産機
3036,アルコニックス,プライム,チタン・産機
4028,石原産業,プライム,チタン・産機
5208,有沢製作所,プライム,チタン・産機
5480,日本冶金工業,プライム,チタン・産機
8801,三井不動産,プライム,ディベロッパー
8802,三菱地所,プライム,ディベロッパー
8830,住友不動産,プライム,ディベロッパー
8871,ゴールドクレスト,スタンダード,ディベロッパー
3003,ヒューリック,プライム,ディベロッパー
8803,平和不動産,プライム,ディベロッパー
8804,東京建物,プライム,ディベロッパー
8848,レオパレス２１,プライム,ディベロッパー
3231,野村不動産ホールディングス,プライム,ディベロッパー
3289,東急不動産ホールディングス,プライム,ディベロッパー
8905,イオンモール,プライム,ディベロッパー
3050,ＤＣＭホールディングス,プライム,ドラッグ・量販店
8218,コメリ,プライム,ドラッグ・量販店
9842,アークランズ,プライム,ドラッグ・量販店
3107,ダイワボウホールディングス,プライム,ドラッグ・量販店
7516,コーナン商事,プライム,ドラッグ・量販店
3148,クリエイトＳＤホールディングス,プライム,ドラッグ・量販店
3034,クオールホールディングス,プライム,ドラッグ・量販店
3088,マツキヨココカラ＆カンパニー,プライム,ドラッグ・量販店
9989,サンドラッグ,プライム,ドラッグ・量販店
9627,アインホールディングス,プライム,ドラッグ・量販店
2664,カワチ薬品,プライム,ドラッグ・量販店
3141,ウエルシアホールディングス,プライム,ドラッグ・量販店
3391,ツルハホールディングス,プライム,ドラッグ・量販店
3349,コスモス薬品,プライム,ドラッグ・量販店
7512,イオン北海道,スタンダード,ドラッグ・量販店
7649,スギホールディングス,プライム,ドラッグ・量販店
6755,富士通ゼネラル,プライム,ドラッグ・量販店
7532,パン・パシフィック・インターナショナルホールディングス,プライム,ドラッグ・量販店
9843,ニトリホールディングス,プライム,ドラッグ・量販店
4732,ユー・エス・エス,プライム,ドラッグ・量販店
2670,エービーシー・マート,プライム,ドラッグ・量販店
7545,西松屋チェーン,プライム,ドラッグ・量販店
8227,しまむら,プライム,ドラッグ・量販店
6412,平和,プライム,パチンコ・陸運
6417,ＳＡＮＫＹＯ,プライム,パチンコ・陸運
6460,セガサミーホールディングス,プライム,パチンコ・陸運
9064,ヤマトホールディングス,プライム,パチンコ・陸運
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム,パチンコ・陸運
4095,日本パーカライジング,プライム,パチンコ・陸運
9065,山九,プライム,パチンコ・陸運
9069,センコーグループホールディングス,プライム,パチンコ・陸運
9072,ニッコンホールディングス,プライム,パチンコ・陸運
9075,福山通運,プライム,パチンコ・陸運
9076,セイノーホールディングス,プライム,パチンコ・陸運
9045,京阪ホールディングス,プライム,パチンコ・陸運
9048,名古屋鉄道,プライム,パチンコ・陸運
4676,フジ・メディア・ホールディングス,プライム,メディア・医薬品卸
7860,エイベックス,プライム,メディア・医薬品卸
9401,ＴＢＳホールディングス,プライム,メディア・医薬品卸
9404,日本テレビホールディングス,プライム,メディア・医薬品卸
9409,テレビ朝日ホールディングス,プライム,メディア・医薬品卸
