Code,CompanyName,SubSector,Sector
8060,キヤノンマーケティングジャパン,食品2,食品2
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食品2,食品2
5947,リンナイ,食品2,食品2
2593,伊藤園,食品2,食品2
2811,カゴメ,食品2,食品2
5831,しずおかフィナンシャルグループ,地銀2,金融（地銀）
5844,京都フィナンシャルグループ,地銀2,金融（地銀）
7974,任天堂,地銀2,金融（地銀）
7186,コンコルディア・フィナンシャルグループ,地銀2,金融（地銀）
8331,千葉銀行,地銀2,金融（地銀）
8354,ふくおかフィナンシャルグループ,地銀2,金融（地銀）
8593,三菱ＨＣキャピタル,リース,金融（その他金融）
7164,全国保証,リース,金融（その他金融）
8439,東京センチュリー,リース,金融（その他金融）
8424,芙蓉総合リース,リース,金融（その他金融）
8591,オリックス,リース,金融（その他金融）
2670,エービーシー・マート,衣料品販売,小売2
8227,しまむら,衣料品販売,小売2
8309,三井住友トラストグループ,都銀,金融（都銀・大手地銀）
8316,三井住友フィナンシャルグループ,都銀,金融（都銀・大手地銀）
8304,あおぞら銀行,都銀,金融（都銀・大手地銀）
8411,みずほフィナンシャルグループ,都銀,金融（都銀・大手地銀）
8306,三菱ＵＦＪフィナンシャル・グループ,都銀,金融（都銀・大手地銀）
8308,りそなホールディングス,都銀,金融（都銀・大手地銀）
8253,クレディセゾン,クレジット,金融（その他金融）
8570,イオンフィナンシャルサービス,クレジット,金融（その他金融）
8572,アコム,クレジット,金融（その他金融）
8697,日本取引所グループ,クレジット,金融（その他金融）
1808,長谷工コーポレーション,住宅,不動産
1878,大東建託,住宅,不動産
1925,大和ハウス工業,住宅,不動産
4204,積水化学工業,住宅,不動産
1911,住友林業,住宅,不動産
1928,積水ハウス,住宅,不動産
5393,ニチアス,住宅,不動産
6465,ホシザキ,私鉄1,運輸（私鉄・陸運）
9003,相鉄ホールディングス,私鉄1,運輸（私鉄・陸運）
9031,西日本鉄道,私鉄1,運輸（私鉄・陸運）
9041,近鉄グループホールディングス,私鉄1,運輸（私鉄・陸運）
9042,阪急阪神ホールディングス,私鉄1,運輸（私鉄・陸運）
9044,南海電気鉄道,私鉄1,運輸（私鉄・陸運）
9602,東宝,私鉄1,運輸（私鉄・陸運）
2201,森永製菓,食品3,食品1
2229,カルビー,食品3,食品1
2267,ヤクルト本社,食品3,食品1
2269,明治ホールディングス,食品3,食品1
2206,江崎グリコ,食品3,食品1
2264,森永乳業,食品3,食品1
4043,トクヤマ,非鉄金属1,コモディティ（非鉄金属）
5706,三井金属鉱業,非鉄金属1,コモディティ（非鉄金属）
5713,住友金属鉱山,非鉄金属1,コモディティ（非鉄金属）
3635,コーエーテクモホールディングス,ゲーム,娯楽
3659,ネクソン,ゲーム,娯楽
7832,バンダイナムコホールディングス,ゲーム,娯楽
9684,スクウェア・エニックス・ホールディングス,ゲーム,娯楽
9697,カプコン,ゲーム,娯楽
9766,コナミグループ,ゲーム,娯楽
4205,日本ゼオン,化学1,化学
4401,ＡＤＥＫＡ,化学1,化学
4403,日油,化学1,化学
3402,東レ,化学1,化学
3405,クラレ,化学1,化学
4005,住友化学,化学1,化学
4208,ＵＢＥ,化学1,化学
4114,日本触媒,化学1,化学
4631,ＤＩＣ,化学1,化学
3401,帝人,化学1,化学
3407,旭化成,化学1,化学
4202,ダイセル,化学1,化学
4042,東ソー,化学1,化学
4182,三菱瓦斯化学,化学1,化学
4183,三井化学,化学1,化学
4188,三菱ケミカルグループ,化学1,化学
8801,三井不動産,不動産2,不動産
8802,三菱地所,不動産2,不動産
8830,住友不動産,不動産2,不動産
6724,セイコーエプソン,複合機,重機・重工・重電
6448,ブラザー工業,複合機,重機・重工・重電
6952,カシオ計算機,複合機,重機・重工・重電
7731,ニコン,複合機,重機・重工・重電
7751,キヤノン,複合機,重機・重工・重電
4062,イビデン,電機,電機
6951,日本電子,電機,電機
6976,太陽誘電,電機,電機
6758,ソニーグループ,電機,電機
6806,ヒロセ電機,電機,電機
6981,村田製作所,電機,電機
4901,富士フイルムホールディングス,電機,電機
6367,ダイキン工業,電機,電機
6971,京セラ,電機,電機
6479,ミネベアミツミ,電機,電機
6762,ＴＤＫ,電機,電機
6770,アルプスアルパイン,電機,電機
6988,日東電工,電機,電機
4612,日本ペイントホールディングス,塗料,機械
4613,関西ペイント,塗料,機械
4681,リゾートトラスト,リゾート,広告・インバウンド
9616,共立メンテナンス,リゾート,広告・インバウンド
9101,日本郵船,海運,コモディティ（海運・鉄鋼）
