Code,CompanyName,Sector33CodeName,Sector,Current
6758,ソニーグループ,電気機器,トヨタ他,1
7203,トヨタ自動車,輸送用機器,トヨタ他,1
9984,ソフトバンクグループ,情報･通信業,トヨタ他,1
3088,マツキヨココカラ＆カンパニー,小売業,ドラッグストア,1
3141,ウエルシアホールディングス,小売業,ドラッグストア,1
3349,コスモス薬品,小売業,ドラッグストア,1
3391,ツルハホールディングス,小売業,ドラッグストア,1
7649,スギホールディングス,小売業,ドラッグストア,1
9627,アインホールディングス,小売業,ドラッグストア,1
9989,サンドラッグ,小売業,ドラッグストア,1
3549,クスリのアオキホールディングス,小売業,ドラッグストア,1
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,ビジネス,1
2412,ベネフィット・ワン,サービス業,ビジネス,1
3626,ＴＩＳ,情報･通信業,ビジネス,1
4686,ジャストシステム,情報･通信業,ビジネス,1
6098,リクルートホールディングス,サービス業,ビジネス,1
7518,ネットワンシステムズ,情報･通信業,ビジネス,1
8056,ＢＩＰＲＯＧＹ,情報･通信業,ビジネス,1
9719,ＳＣＳＫ,情報･通信業,ビジネス,1
4483,ＪＭＤＣ,情報･通信業,ビジネス,1
2432,ディー・エヌ・エー,サービス業,メディア,1
2433,博報堂ＤＹホールディングス,サービス業,メディア,1
4324,電通グループ,サービス業,メディア,1
4676,フジ・メディア・ホールディングス,情報･通信業,メディア,1
6460,セガサミーホールディングス,機械,メディア,1
7164,全国保証,その他金融業,メディア,1
7911,凸版印刷,その他製品,メディア,1
7912,大日本印刷,その他製品,メディア,1
7936,アシックス,その他製品,メディア,1
9401,ＴＢＳホールディングス,情報･通信業,メディア,1
9404,日本テレビホールディングス,情報･通信業,メディア,1
9468,ＫＡＤＯＫＡＷＡ,情報･通信業,メディア,1
6268,ナブテスコ,機械,ロボ・産機,1
6273,ＳＭＣ,機械,ロボ・産機,1
6383,ダイフク,機械,ロボ・産機,1
6481,ＴＨＫ,機械,ロボ・産機,1
6506,安川電機,電気機器,ロボ・産機,1
6645,オムロン,電気機器,ロボ・産機,1
6954,ファナック,電気機器,ロボ・産機,1
9962,ミスミグループ本社,卸売業,ロボ・産機,1
2784,アルフレッサ　ホールディングス,卸売業,医薬品卸,1
7459,メディパルホールディングス,卸売業,医薬品卸,1
8129,東邦ホールディングス,卸売業,医薬品卸,1
9987,スズケン,卸売業,医薬品卸,1
2181,パーソルホールディングス,サービス業,医療機器等,1
2427,アウトソーシング,サービス業,医療機器等,1
4543,テルモ,精密機器,医療機器等,1
4704,トレンドマイクロ,情報･通信業,医療機器等,1
6869,シスメックス,電気機器,医療機器等,1
7309,シマノ,輸送用機器,医療機器等,1
7733,オリンパス,精密機器,医療機器等,1
7747,朝日インテック,精密機器,医療機器等,1
7951,ヤマハ,その他製品,医療機器等,1
9613,ＮＴＴデータグループ,情報･通信業,医療機器等,1
9744,メイテック,サービス業,医療機器等,1
9766,コナミグループ,情報･通信業,医療機器等,1
3360,シップヘルスケアホールディングス,卸売業,医療機器販売,1
6849,日本光電工業,電気機器,医療機器販売,1
3402,東レ,繊維製品,化学,1
3405,クラレ,化学,化学,1
3407,旭化成,化学,化学,1
4004,レゾナック・ホールディングス,化学,化学,1
4005,住友化学,化学,化学,1
4042,東ソー,化学,化学,1
4043,トクヤマ,化学,化学,1
4061,デンカ,化学,化学,1
4118,カネカ,化学,化学,1
4182,三菱瓦斯化学,化学,化学,1
4183,三井化学,化学,化学,1
4188,三菱ケミカルグループ,化学,化学,1
4202,ダイセル,化学,化学,1
4205,日本ゼオン,化学,化学,1
4208,ＵＢＥ,化学,化学,1
4631,ＤＩＣ,化学,化学,1
5301,東海カーボン,ガラス･土石製品,化学,1
5444,大和工業,鉄鋼,化学,1
4527,ロート製薬,医薬品,化粧・衛生,1
8283,ＰＡＬＴＡＣ,卸売業,化粧・衛生,1
9843,ニトリホールディングス,小売業,化粧・衛生,1
3064,ＭｏｎｏｔａＲＯ,小売業,化粧・衛生,1
4452,花王,化学,化粧・衛生,1
4911,資生堂,化学,化粧・衛生,1
4912,ライオン,化学,化粧・衛生,1
4919,ミルボン,化学,化粧・衛生,0
4921,ファンケル,化学,化粧・衛生,1
4922,コーセー,化学,化粧・衛生,1
4927,ポーラ・オルビスホールディングス,化学,化粧・衛生,1
4967,小林製薬,化学,化粧・衛生,1
7956,ピジョン,その他製品,化粧・衛生,1
8113,ユニ・チャーム,化学,化粧・衛生,1
9101,日本郵船,海運業,海運,1
9104,商船三井,海運業,海運,1
9107,川崎汽船,海運業,海運,1
3197,すかいらーくホールディングス,小売業,外食,1
7550,ゼンショーホールディングス,小売業,外食,1
7616,コロワイド,小売業,外食,1
9861,吉野家ホールディングス,小売業,外食,1
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,外食,1
4689,Ｚホールディングス,情報･通信業,光学,1
4751,サイバーエージェント,サービス業,光学,1
4901,富士フイルムホールディングス,化学,光学,1
6845,アズビル,電気機器,光学,1
6861,キーエンス,電気機器,光学,1
6965,浜松ホトニクス,電気機器,光学,1
7701,島津製作所,精密機器,光学,1
7741,ＨＯＹＡ,精密機器,光学,1
9449,ＧＭＯインターネットグループ,情報･通信業,光学,1
9042,阪急阪神ホールディングス,陸運業,私鉄,1
9048,名古屋鉄道,陸運業,私鉄,1
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,私鉄,1
9602,東宝,情報･通信業,私鉄,1
4661,オリエンタルランド,サービス業,私鉄,1
9001,東武鉄道,陸運業,私鉄,1
9003,相鉄ホールディングス,陸運業,私鉄,1
9006,京浜急行電鉄,陸運業,私鉄,1
9007,小田急電鉄,陸運業,私鉄,1
9008,京王電鉄,陸運業,私鉄,1
9009,京成電鉄,陸運業,私鉄,1
9031,西日本鉄道,陸運業,私鉄,1
9041,近鉄グループホールディングス,陸運業,私鉄,1
9044,南海電気鉄道,陸運業,私鉄,1
9045,京阪ホールディングス,陸運業,私鉄,1
9601,松竹,情報･通信業,私鉄,0
3116,トヨタ紡織,輸送用機器,自動車,1
5334,日本特殊陶業,ガラス･土石製品,自動車,1
5802,住友電気工業,非鉄金属,自動車,1
5991,日本発條,金属製品,自動車,1
6201,豊田自動織機,輸送用機器,自動車,1
6902,デンソー,輸送用機器,自動車,1
6923,スタンレー電気,電気機器,自動車,1
7201,日産自動車,輸送用機器,自動車,1
7202,いすゞ自動車,輸送用機器,自動車,1
7205,日野自動車,輸送用機器,自動車,1
7211,三菱自動車工業,輸送用機器,自動車,1
7240,ＮＯＫ,輸送用機器,自動車,1
7259,アイシン,輸送用機器,自動車,1
7261,マツダ,輸送用機器,自動車,1
7267,本田技研工業,輸送用機器,自動車,1
7269,スズキ,輸送用機器,自動車,1
7270,ＳＵＢＡＲＵ,輸送用機器,自動車,1
7272,ヤマハ発動機,輸送用機器,自動車,1
7276,小糸製作所,電気機器,自動車,1
7282,豊田合成,輸送用機器,自動車,1
7313,テイ・エス　テック,輸送用機器,自動車,1
7988,ニフコ,化学,自動車,1
1808,長谷工コーポレーション,建設業,住宅,1
1878,大東建託,不動産業,住宅,1
1911,住友林業,建設業,住宅,1
1925,大和ハウス工業,建設業,住宅,1
1928,積水ハウス,建設業,住宅,1
3288,オープンハウスグループ,不動産業,住宅,1
3291,飯田グループホールディングス,不動産業,住宅,1
5332,ＴＯＴＯ,ガラス･土石製品,住宅,1
5947,リンナイ,金属製品,住宅,1
1963,日揮ホールディングス,建設業,重工業,1
7011,三菱重工業,機械,重工業,1
7013,ＩＨＩ,機械,重工業,1
2768,双日,卸売業,商社,1
8001,伊藤忠商事,卸売業,商社,1
8002,丸紅,卸売業,商社,1
8015,豊田通商,卸売業,商社,1
8031,三井物産,卸売業,商社,1
8053,住友商事,卸売業,商社,1
8058,三菱商事,卸売業,商社,1
8088,岩谷産業,卸売業,商社,1
2331,綜合警備保障,サービス業,小売・サービス,1
2371,カカクコム,サービス業,小売・サービス,1
2670,エービーシー・マート,小売業,小売・サービス,1
2914,日本たばこ産業,食料品,小売・サービス,1
3092,ＺＯＺＯ,小売業,小売・サービス,1
3635,コーエーテクモホールディングス,情報･通信業,小売・サービス,1
3659,ネクソン,情報･通信業,小売・サービス,1
4544,Ｈ．Ｕ．グループホールディングス,サービス業,小売・サービス,1
4552,ＪＣＲファーマ,医薬品,小売・サービス,1
4665,ダスキン,サービス業,小売・サービス,1
4732,ユー・エス・エス,サービス業,小売・サービス,1
6028,テクノプロ・ホールディングス,サービス業,小売・サービス,1
6417,ＳＡＮＫＹＯ,機械,小売・サービス,1
6465,ホシザキ,機械,小売・サービス,1
7453,良品計画,小売業,小売・サービス,1
7476,アズワン,卸売業,小売・サービス,1
7730,マニー,精密機器,小売・サービス,1
7832,バンダイナムコホールディングス,その他製品,小売・サービス,1
8086,ニプロ,精密機器,小売・サービス,1
8111,ゴールドウイン,繊維製品,小売・サービス,1
8227,しまむら,小売業,小売・サービス,1
8273,イズミ,小売業,小売・サービス,1
8282,ケーズホールディングス,小売業,小売・サービス,1
8876,リログループ,サービス業,小売・サービス,1
9064,ヤマトホールディングス,陸運業,小売・サービス,1
9432,日本電信電話,情報･通信業,小売・サービス,1
9433,ＫＤＤＩ,情報･通信業,小売・サービス,1
9435,光通信,情報･通信業,小売・サービス,1
9684,スクウェア・エニックス・ホールディングス,情報･通信業,小売・サービス,1
9697,カプコン,情報･通信業,小売・サービス,1
9735,セコム,サービス業,小売・サービス,1
9783,ベネッセホールディングス,サービス業,小売・サービス,1
9831,ヤマダホールディングス,小売業,小売・サービス,1
9832,オートバックスセブン,卸売業,小売・サービス,0
9434,ソフトバンク,情報･通信業,小売・サービス,1
7780,メニコン,精密機器,小売・サービス,0
8253,クレディセゾン,その他金融業,証券・金融,1
8439,東京センチュリー,その他金融業,証券・金融,1
8473,ＳＢＩホールディングス,証券･商品先物取引業,証券・金融,1
