Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
9449,ＧＭＯインターネットグループ,8,2,2,2,-1,-1,35,IT1,IT1
4452,花王,9,1,-1,-1,-1,-1,36,化粧・衛生,化粧・衛生
8113,ユニ・チャーム,9,1,-1,-1,-1,-1,36,化粧・衛生,化粧・衛生
4911,資生堂,9,2,-1,-1,-1,-1,37,化粧・衛生,化粧・衛生
4527,ロート製薬,9,2,1,-1,-1,-1,38,化粧・衛生,化粧・衛生
4912,ライオン,9,2,1,-1,-1,-1,38,化粧・衛生,化粧・衛生
4922,コーセー,9,2,2,1,-1,-1,39,化粧・衛生,化粧・衛生
4967,小林製薬,9,2,2,1,-1,-1,39,化粧・衛生,化粧・衛生
4927,ポーラ・オルビスホールディングス,9,2,2,2,-1,-1,40,化粧・衛生,化粧・衛生
7956,ピジョン,9,2,2,2,-1,-1,40,化粧・衛生,化粧・衛生
4704,トレンドマイクロ,10,-1,-1,-1,-1,-1,41,IT2,IT2
9613,ＮＴＴデータグループ,10,-1,-1,-1,-1,-1,41,IT2,IT2
7730,マニー,11,-1,-1,-1,-1,-1,42,医療機器,医療機器
7747,朝日インテック,11,-1,-1,-1,-1,-1,42,医療機器,医療機器
4543,テルモ,11,1,-1,-1,-1,-1,43,医療機器,医療機器
6367,ダイキン工業,11,1,-1,-1,-1,-1,43,医療機器,医療機器
7733,オリンパス,11,1,-1,-1,-1,-1,43,医療機器,医療機器
9983,ファーストリテイリング,11,1,-1,-1,-1,-1,43,医療機器,医療機器
6849,日本光電工業,11,2,-1,-1,-1,-1,44,医療機器,医療機器
6869,シスメックス,11,2,-1,-1,-1,-1,44,医療機器,医療機器
8086,ニプロ,11,2,-1,-1,-1,-1,44,医療機器,医療機器
7453,良品計画,12,1,-1,-1,-1,-1,45,百貨店,百貨店
7532,パン・パシフィック・インターナショナルホールディングス,12,1,-1,-1,-1,-1,45,百貨店,百貨店
8233,高島屋,12,1,-1,-1,-1,-1,45,百貨店,百貨店
8273,イズミ,12,1,-1,-1,-1,-1,45,百貨店,百貨店
9843,ニトリホールディングス,12,1,-1,-1,-1,-1,45,百貨店,百貨店
3086,Ｊ．フロント　リテイリング,12,2,1,-1,-1,-1,46,百貨店,百貨店
3099,三越伊勢丹ホールディングス,12,2,1,-1,-1,-1,46,百貨店,百貨店
8242,エイチ・ツー・オー　リテイリング,12,2,1,-1,-1,-1,46,百貨店,百貨店
9706,日本空港ビルデング,12,2,1,-1,-1,-1,46,百貨店,百貨店
3105,日清紡ホールディングス,12,2,2,-1,-1,-1,47,百貨店,百貨店
8252,丸井グループ,12,2,2,-1,-1,-1,47,百貨店,百貨店
6501,日立製作所,13,-1,-1,-1,-1,-1,48,重電,重電
6503,三菱電機,13,-1,-1,-1,-1,-1,48,重電,重電
6504,富士電機,13,-1,-1,-1,-1,-1,48,重電,重電
6752,パナソニック　ホールディングス,13,-1,-1,-1,-1,-1,48,重電,重電
4021,日産化学,14,1,-1,-1,-1,-1,49,その他1,食品3
4272,日本化薬,14,1,-1,-1,-1,-1,49,その他1,食品3
5332,ＴＯＴＯ,14,1,-1,-1,-1,-1,49,その他1,食品3
6841,横河電機,14,1,-1,-1,-1,-1,49,その他1,食品3
5901,東洋製罐グループホールディングス,14,2,1,-1,-1,-1,50,その他1,食品3
8015,豊田通商,14,2,1,-1,-1,-1,50,その他1,食品3
9301,三菱倉庫,14,2,2,-1,-1,-1,51,その他1,食品3
9364,上組,14,2,2,-1,-1,-1,51,その他1,食品3
5333,日本碍子,15,-1,-1,-1,-1,-1,52,ガラス,重工
6471,日本精工,15,-1,-1,-1,-1,-1,52,ガラス,重工
6472,ＮＴＮ,15,-1,-1,-1,-1,-1,52,ガラス,重工
6473,ジェイテクト,15,-1,-1,-1,-1,-1,52,ガラス,重工
2784,アルフレッサ　ホールディングス,16,1,-1,-1,-1,-1,53,医薬品卸,医薬品
4887,サワイグループホールディングス,16,1,-1,-1,-1,-1,53,医薬品卸,医薬品
7459,メディパルホールディングス,16,1,-1,-1,-1,-1,53,医薬品卸,医薬品
8129,東邦ホールディングス,16,2,-1,-1,-1,-1,54,医薬品卸,医薬品
9987,スズケン,16,2,-1,-1,-1,-1,54,医薬品卸,医薬品
