Date,Target,TargetRank,CumTarget
2022-01-04,0.9969196764535213,97.0,0.9969196764535213
2022-01-05,1.0092982180615502,49.0,1.0061892529950363
2022-01-06,1.0043296935239212,68.7,1.010545744087568
2022-01-07,0.9999036109672922,93.0,1.0104483385607885
2022-01-11,0.9824245874217646,158.8,0.9926892921215902
2022-01-12,0.9928674499270074,129.6,0.9856088860386093
2022-01-13,1.0183396460557685,26.7,1.0036846041579777
2022-01-14,1.0012362774953925,82.0,1.00492543684657
2022-01-17,1.0051451784519934,71.6,1.0100959575500932
2022-01-18,0.9718019416069517,152.0,0.9816132127565136
2022-01-19,0.9937927076848458,121.2,0.9755200526045164
2022-01-20,1.0006653297583934,88.6,0.9761690951254236
2022-01-21,1.0050001816293141,60.2,0.9810501179019739
2022-01-24,1.0023831066305677,81.2,0.9833880649428653
2022-01-25,1.0096237869033855,39.6,0.9928519821232081
2022-01-26,0.9939805771456938,121.4,0.9868755862110724
2022-01-27,0.9961209550223541,119.0,0.983047451424819
2022-01-28,0.9993245743824074,92.0,0.9823834759928175
2022-01-31,0.99777209922924,101.2,0.9801948230894713
2022-02-01,0.9954315774925928,105.8,0.9757168789980253
2022-02-02,0.9974008026749552,108.2,0.9731807982961326
2022-02-03,1.0029162843316284,85.4,0.9760188702100452
2022-02-04,1.0039076025485627,72.6,0.9798327640347233
2022-02-07,1.0226253786953785,35.0,1.0020018513791484
2022-02-08,0.994343583233026,116.0,0.9963341113064684
2022-02-09,1.0050854989456353,67.2,1.0014009673790178
2022-02-10,1.007105333695716,67.0,1.0085162554154588
2022-02-14,0.9875038493809147,140.6,0.9959136843859913
2022-02-15,1.0091852160066324,42.6,1.0050613667010377
2022-02-16,1.0052284861145506,65.4,1.0103163161011053
2022-02-17,1.0018179488909957,81.8,1.0121530195275161
2022-02-18,0.99977700027646,96.8,1.0119273096839814
2022-02-21,1.0035711198597088,78.0,1.0155410233961755
2022-02-22,1.0162689258208981,54.8,1.0320627849738868
2022-02-24,0.9900909295554452,117.4,1.021836002134377
2022-02-25,1.0073377590911328,55.2,1.0293339885486854
2022-02-28,0.9945894606430365,117.6,1.0237647364921825
2022-03-01,0.9997649486865656,92.8,1.0235240992462222
2022-03-02,0.9965388741430412,108.6,1.0199815535211008
2022-03-03,0.981167160043164,163.2,1.0007724041647128
2022-03-04,0.9765876661354858,152.2,0.977341986516016
2022-03-07,1.0087169481508231,55.0,0.9858614259380986
2022-03-08,0.9974112896843451,109.8,0.9833093162949663
2022-03-09,1.0023410729661397,82.4,0.9856113151526978
2022-03-10,1.008630287439188,60.2,0.9941174241057816
2022-03-11,0.9996182616567793,94.4,0.9937379313673366
2022-03-14,1.001318796017926,83.6,0.9950484689940858
2022-03-15,1.0038051046835714,71.4,0.9988347325838358
2022-03-16,0.9916357303549098,124.0,0.990480209549623
2022-03-17,0.9929346897620963,127.6,0.9834821595846511
2022-03-18,1.0069396680635636,56.6,0.9903071993186053
2022-03-22,0.9969198215759094,109.2,0.9872568764500426
2022-03-23,1.0124641288046572,41.6,0.9995621733213994
2022-03-24,0.9980057776405918,103.0,0.9975688240857432
2022-03-25,1.0085144306819416,24.6,1.0060625546888873
2022-03-28,0.9939551897054096,143.4,0.999981097401302
2022-03-29,1.0006323216148505,88.4,1.0006134070636308
2022-03-30,1.0038063947435174,74.4,1.0044221366765709
2022-03-31,0.9964236391106392,109.2,1.0008299606305526
2022-04-01,1.010427977329495,47.0,1.0112665927706874
2022-04-04,1.0017307901008055,87.2,1.0130168829787303
2022-04-05,1.0025284005105255,75.4,1.0155781953828247
2022-04-06,0.9932447140660443,116.4,1.008717674284723
2022-04-07,1.0011111570725206,86.7,1.009838518062681
2022-04-08,1.004985440755923,70.4,1.0148730081675317
2022-04-11,0.9861585654324334,138.4,1.0008257098305913
2022-04-12,0.9999282864970703,95.2,1.0007539371131173
2022-04-13,0.9978206296071817,100.6,0.9985729236120766
2022-04-14,0.9990771274570394,101.0,0.9976513680787311
2022-04-15,1.0099529997375087,35.0,1.007580991883344
2022-04-18,1.0079104740770182,43.6,1.0155514352001336
2022-04-19,0.9912425033192386,144.0,1.006657746877226
2022-04-20,0.9945373197386809,116.5,1.0011586974734559
2022-04-21,1.0132916337563156,37.0,1.014465732212223
2022-04-22,1.0148263643256936,69.6,1.029506570753933
2022-04-25,1.0068862718244465,48.0,1.0365960328451984
2022-04-26,0.9980557745109471,98.0,1.0345806564162896
2022-04-27,0.9999616435005226,92.4,1.0345409735238824
2022-04-28,1.0020654328822662,82.6,1.0366777484686505
2022-05-02,1.0016441561996876,81.6,1.0383822086158734
2022-05-06,1.000778978877359,85.0,1.0391910864230105
2022-05-09,1.002552332791635,79.2,1.0418434479096628
2022-05-10,1.0090171263125292,76.4,1.0512378818773451
2022-05-11,1.0013514781305755,94.6,1.0526586068847348
2022-05-12,1.0377522825617984,38.0,1.0923988720529563
2022-05-13,1.0024212888188397,95.2,1.0950438852275712
2022-05-16,0.9903698559968126,134.0,1.0844984549230199
2022-05-17,0.9941474029920727,130.0,1.0781513225106356
2022-05-18,1.0076523537494746,58.4,1.0864017178259509
2022-05-19,0.9866195491168538,123.0,1.071865173001215
2022-05-20,0.9977861331359862,111.2,1.0694922062120171
2022-05-23,0.9885478135553043,139.4,1.0572441820653282
2022-05-24,1.0032565438419119,69.4,1.0606871440958303
2022-05-25,0.9953085983456085,126.8,1.0557110346732272
2022-05-26,0.9867795232336963,145.6,1.0417540314673994
2022-05-27,0.9978816101625531,99.4,1.0395471903140194
