Date,Target,TargetRank,CumTarget
2022-01-04,0.9804525752780519,141.8,0.9804525752780519
2022-01-05,1.0401953749109387,16.6,1.0198622341237484
2022-01-06,0.9942183905261694,98.6,1.0139657889689366
2022-01-07,1.0229101803926306,41.6,1.037195928106171
2022-01-11,1.0040386807219173,75.4,1.0413848313058645
2022-01-12,0.9899586673042181,99.4,1.0309279397503817
2022-01-13,1.0005802449215915,90.2,1.0315261304519485
2022-01-14,1.0027229297257196,86.0,1.0343349036154126
2022-01-17,1.016876166703078,52.8,1.0517905118756383
2022-01-18,1.0075612337464759,73.8,1.0597433457882555
2022-01-19,1.0096821380693022,46.4,1.0700039271802015
2022-01-20,0.992278815423892,118.4,1.0617422293612828
2022-01-21,0.9761650194501028,140.0,1.0364356239754522
2022-01-24,0.9577774208680522,163.6,0.9926746388269789
2022-01-25,1.0175369506358376,38.4,1.0100831249655355
2022-01-26,0.9992924025708837,94.8,1.009368392743116
2022-01-27,0.9771903984159035,148.6,0.9863451018530658
2022-01-28,1.0349868479579358,35.6,1.0208542079656537
2022-01-31,0.9959844223178609,105.4,1.016754888591429
2022-02-01,1.012062052346754,69.4,1.029019039281437
2022-02-02,0.9944188692409611,111.8,1.0232759494696666
2022-02-03,1.0460298309039842,28.2,1.0703771683918692
2022-02-04,1.018742298056947,47.0,1.0904384963152205
2022-02-07,0.9986689891566457,95.8,1.088987110852614
2022-02-08,0.9770213333292496,147.2,1.063963639023588
2022-02-09,1.010719758275955,77.4,1.0753690720483264
2022-02-10,1.0242544735080792,37.4,1.1014515827177302
2022-02-14,0.9966286393341135,103.2,1.0977381921763774
2022-02-15,1.0085972213643652,65.4,1.1071756904146357
2022-02-16,1.0029041143904425,78.4,1.110391055269917
2022-02-17,1.020468053068688,26.2,1.1331185983161782
2022-02-18,1.0094890602280457,48.6,1.1438708289411192
2022-02-21,1.0145279147872022,52.5,1.1604888868715422
2022-02-22,1.00862096144165,66.6,1.1704934168187249
2022-02-24,1.010128863612154,59.8,1.1823491849966057
2022-02-25,0.9919769381258288,122.6,1.172863124328502
2022-02-28,1.0431089530639892,5.6,1.223424025705663
2022-03-01,1.031165970515287,33.0,1.2615532228184994
2022-03-02,1.0012959521707734,89.0,1.2631881354561572
2022-03-03,1.0022700743425828,87.8,1.266055666432311
2022-03-04,1.0158164642339178,52.2,1.2860801905985866
2022-03-07,1.0487015136082025,23.8,1.3487142425022633
2022-03-08,1.0093542291669602,66.4,1.3613304246073725
2022-03-09,0.9935098484648412,127.0,1.3524951838622488
2022-03-10,0.9819881850642032,142.6,1.3281342909089655
2022-03-11,1.0109144827314338,57.0,1.3426301896921164
2022-03-14,0.9680078098436683,159.8,1.2996765093538545
2022-03-15,0.998566146688043,97.2,1.2978129638864448
2022-03-16,1.015008488328932,54.4,1.3172911746080713
2022-03-17,1.0010185844613382,87.4,1.318632946929585
2022-03-18,1.0218976397764497,40.6,1.3475078961988074
2022-03-22,0.9984223682790575,95.2,1.3453820249975437
2022-03-23,1.0249480821860308,40.4,1.378946726328791
2022-03-24,1.0124693061545285,65.2,1.3961412352301694
2022-03-25,1.0150642056342396,37.6,1.417172993892118
2022-03-28,0.9969848611073228,105.6,1.4129000204805822
2022-03-29,1.0153704502988252,55.8,1.4346169300225882
2022-03-30,0.9660523041961722,139.0,1.38591499088716
2022-03-31,0.9932305025890746,117.6,1.3765330429445868
2022-04-01,0.9955217307604645,109.2,1.3703685573611637
2022-04-04,0.9999704394489447,91.4,1.3703280485114593
2022-04-05,1.0096303589476447,76.0,1.3835247994946502
2022-04-06,0.9768182784150895,153.8,1.3514523127869462
2022-04-07,1.0067541378641953,60.0,1.360580208024395
2022-04-08,1.013198326376235,44.8,1.3785375896709466
2022-04-11,0.9976134324844296,99.4,1.3752476166404453
2022-04-12,1.0075270453687009,64.6,1.3855991678440955
2022-04-13,0.9966929152187243,112.0,1.38101687392317
2022-04-14,0.9956532538620251,112.8,1.3750139441599663
2022-04-15,0.9886582623717902,128.8,1.359418896770174
2022-04-18,0.988853580537774,151.4,1.344266243521897
2022-04-19,1.0218467365067996,16.6,1.3736340739391053
2022-04-20,0.9871134007148048,138.8,1.3559326020637619
2022-04-21,0.9911441819213935,128.6,1.3439247096130338
2022-04-22,0.9956717605490331,111.0,1.3381078816657574
2022-04-25,0.9767627968723703,152.0,1.307013997012808
2022-04-26,1.00569934871387,74.0,1.314463125555693
2022-04-27,0.9800532124776151,146.8,1.2882438088842236
2022-04-28,0.9905312474814163,120.4,1.2760457470743012
2022-05-02,0.9292110642711213,171.8,1.1857158266975496
2022-05-06,0.9898223981484203,116.0,1.1736480831043052
2022-05-09,1.019871536349354,49.2,1.1969702736490622
2022-05-10,1.0394534277341112,22.4,1.2441948538403547
2022-05-11,0.9758180480295875,138.6,1.2141077936429527
2022-05-12,1.0004421878895022,91.2,1.214644657405852
2022-05-13,1.0164736408239938,48.2,1.2346542772207392
2022-05-16,0.987505883179472,121.0,1.2192283624481786
2022-05-17,0.9928412484375179,123.0,1.21050020950348
2022-05-18,1.0002949230295126,91.6,1.2108572138924925
2022-05-19,1.0117480694360046,43.6,1.2250824485183884
2022-05-20,1.0104355384350492,69.8,1.2378668434960063
2022-05-23,1.0005205853276493,89.4,1.238511258812314
2022-05-24,1.008451165248174,52.8,1.248978122122261
2022-05-25,1.015770421659621,44.0,1.2686750337517707
2022-05-26,1.0430199274987928,15.8,1.3232533417233003
2022-05-27,1.0071111582819077,57.8,1.332663205683358
2022-05-30,1.0047151307231346,65.0,1.3389468869080667
