Date,Target,TargetRank,CumTarget
2022-01-04,0.9992701119471176,38.8,0.9992701119471176
2022-01-05,1.0044764557065258,26.0,1.003743300342104
2022-01-06,0.9978761825533832,39.6,1.0016115328089126
2022-01-07,0.9919436247682938,51.4,0.9935421744641996
2022-01-11,0.9996421201311662,38.0,0.9931866057211214
2022-01-12,0.9945502732182628,49.8,0.9877740100766603
2022-01-13,1.0129287428832205,24.2,1.0005446862796692
2022-01-14,1.003738993485492,29.2,1.0042857163436123
2022-01-17,1.0040126548618722,24.2,1.0083155683060072
2022-01-18,0.9992169563007511,35.6,1.0075260131533907
2022-01-19,0.9961943606598896,40.0,1.0036917325215498
2022-01-20,0.9891693057406716,48.8,0.9928210542359932
2022-01-21,0.9820598386801666,52.2,0.9750096843612723
2022-01-24,1.0009729365943225,34.8,0.9759583069630062
2022-01-25,1.0056580615657613,32.4,0.9814803391494191
2022-01-26,1.0016924756621493,35.8,0.9831414707363075
2022-01-27,0.9943657402269301,43.6,0.9776021962965012
2022-01-28,1.001919054263578,33.0,0.9794782679593873
2022-01-31,0.9890959478782692,50.8,0.9687979858734554
2022-02-01,0.9944930159935148,43.0,0.9634628308597353
2022-02-02,1.004045381843222,20.2,0.9673604059023145
2022-02-03,1.001955010268459,33.8,0.9692516054291541
2022-02-04,0.9889425659661073,43.4,0.9585341697398766
2022-02-07,1.0015834174882496,32.8,0.9600519295073275
2022-02-08,1.0071424597452103,25.8,0.9669090617671451
2022-02-09,0.9972652127983773,43.4,0.9642647712398913
2022-02-10,0.9870017923469702,51.6,0.9517310575108139
2022-02-14,0.9963329143928282,39.8,0.9482409782479176
2022-02-15,0.9556617896587796,56.0,0.9061976703001968
2022-02-16,1.000784955399067,34.2,0.9069089950541209
2022-02-17,1.011784567684532,24.8,0.9175965254900472
2022-02-18,0.994794530766052,43.8,0.9128200050074312
2022-02-21,1.0127167625974716,14.8,0.9244281203053335
2022-02-22,1.0138783018153703,20.2,0.9372576127655464
2022-02-24,0.9945699260785794,42.8,0.9321682346448154
2022-02-25,1.0058922583795853,26.6,0.9376608107365845
2022-02-28,1.010126798791391,23.8,0.9471563131014863
2022-03-01,0.9933743495550071,50.6,0.9408807864541077
2022-03-02,1.013210927004869,24.0,0.9533106938442366
2022-03-03,1.0040340933558238,28.0,0.9571564381803095
2022-03-04,0.9983344460142146,38.8,0.9555622424596781
2022-03-07,0.99327997509931,46.8,0.94914084039619
2022-03-08,0.9944402729667409,42.0,0.9438638764074689
2022-03-09,1.002624158263891,31.6,0.9463407245987319
2022-03-10,0.9969718549386105,41.6,0.9434750676071465
2022-03-11,0.9912969843488633,44.8,0.9352639893273043
2022-03-14,1.006981982330508,24.2,0.9417939859751479
2022-03-15,0.9989398629631178,36.8,0.9407955552895026
2022-03-16,0.9925508928006368,47.4,0.9337874683454667
2022-03-17,0.9959760135525128,41.8,0.9300299202280111
2022-03-18,1.0113871789471736,24.0,0.940620337355873
2022-03-22,0.9952349514901617,46.4,0.9361382358190319
2022-03-23,0.9976928461935087,39.0,0.9339784209248599
2022-03-24,1.0054859691589033,26.0,0.939102197737135
2022-03-25,1.0017692373870588,32.2,0.9407636924556406
2022-03-28,1.0069577285987457,26.4,0.9473092709033007
2022-03-29,1.00109639241895,34.6,0.9483478936063202
2022-03-30,1.0043021907345397,28.8,0.9524278671273136
2022-03-31,0.997054691954001,40.6,0.9496226736670299
2022-04-01,1.0014838169283697,33.8,0.9510317398657808
2022-04-04,1.0089089904810076,22.8,0.9595044725833811
2022-04-05,1.0026399771099463,32.2,0.9620375424278924
2022-04-06,1.0024924464354532,29.2,0.9644353694712889
2022-04-07,0.9924624517657749,54.2,0.9571658913551063
2022-04-08,0.9910314953343513,44.6,0.9485815445926883
2022-04-11,1.0067975559280922,30.0,0.9550295806944131
2022-04-12,0.9856208456777188,56.8,0.9412970629712647
2022-04-13,1.0061763767440073,26.2,0.9471108682602027
2022-04-14,0.9987823414804007,37.8,0.9459576106424606
2022-04-15,0.9900938011458661,48.2,0.9365867664438551
2022-04-18,0.9926810570186084,50.2,0.9297319413031266
2022-04-19,0.9964666997337261,44.2,0.926446919187357
2022-04-20,0.9837682670389907,60.8,0.9114090801925581
2022-04-21,1.0037543810656637,27.4,0.914830857186307
2022-04-22,0.9999130767520215,36.0,0.9147513371168493
2022-04-25,1.0024430565515166,31.0,0.9169861263640011
2022-04-26,0.9635538391254911,66.8,0.8835655024828459
2022-04-27,0.9954918117794819,45.2,0.8795822228924965
2022-04-28,0.9984615067343993,41.0,0.8782289915660343
2022-05-02,0.9997713142337374,38.2,0.878028153096144
2022-05-06,1.0026551068947975,29.8,0.8803594116992559
2022-05-09,0.9947895572761637,41.6,0.8757723494082067
2022-05-10,1.0006560286618003,36.8,0.8763468811706306
2022-05-11,1.0083198799674773,25.8,0.8836379820318434
2022-05-12,1.0043332404629526,32.2,0.8874669978901856
2022-05-13,0.9906377062909353,43.2,0.8791582711988357
2022-05-16,1.016365862380517,22.8,0.893546454475969
2022-05-17,1.0046790839442243,29.4,0.8977274333445261
2022-05-18,0.9972982881642556,39.8,0.8953020325125868
2022-05-19,0.9865163809503379,43.4,0.8832301209717989
2022-05-20,0.9910067331986532,52.6,0.8752869968469137
2022-05-23,1.0083031660927861,21.8,0.8825546501605895
2022-05-24,0.9949894060778004,50.5,0.8781325271944859
2022-05-25,1.0050829145959719,30.0,0.8825959998341604
2022-05-26,1.0013527892365104,37.2,0.8837899662029232
2022-05-27,1.0168260380961147,19.2,0.8986606498432175
