Date,Target,TargetRank,CumTarget
2022-01-04,0.983077083537368,111.0,0.983077083537368
2022-01-05,1.0055115912090544,84.0,0.9884954025488154
2022-01-06,1.0008843832847576,87.0,0.9893696113598893
2022-01-07,0.9953283256535551,108.2,0.9847475987273472
2022-01-11,1.0145530089525492,54.2,0.9990786393476275
2022-01-12,0.9713606198021623,150.2,0.9704656463478124
2022-01-13,0.9966667804557118,100.0,0.9672308712883456
2022-01-14,0.9861044082389702,118.0,0.9537906259622576
2022-01-17,1.0077771405696951,68.6,0.9612083897344236
2022-01-18,1.0035615566310694,94.6,0.9646317878487217
2022-01-19,1.0023181286796508,103.0,0.9668679284614367
2022-01-20,1.0099085710797209,62.6,0.9764482080552993
2022-01-21,1.0015906210847358,85.8,0.9780013671631846
2022-01-24,1.0102781760385697,74.8,0.9880534373808497
2022-01-25,1.0107778886249261,66.4,0.998702567284416
2022-01-26,0.9843648112906277,112.6,0.9830876641803895
2022-01-27,1.0061658372299145,86.2,0.9891492227004626
2022-01-28,1.017825663965307,63.6,1.0067814643558655
2022-01-31,1.0083574900785444,74.2,1.015195630455482
2022-02-01,1.003859823563169,86.2,1.0191141064711402
2022-02-02,0.988584727271308,110.4,1.0074806410041148
2022-02-03,0.9937732788618944,107.8,1.0012073400005423
2022-02-04,0.9871672978129153,121.0,0.9883591443787921
2022-02-07,0.9967542143177736,98.8,0.9851511424190699
2022-02-08,1.004012006373701,79.8,0.989103575081514
2022-02-09,0.9914770435265309,114.4,0.9806734883633416
2022-02-10,1.0254255903785072,71.0,1.0056076907735296
2022-02-14,1.0129025524016557,56.6,1.018582596699243
2022-02-15,0.9883162527378047,103.6,1.0066817350737385
2022-02-16,0.9843476501938753,117.6,0.9909248004129277
2022-02-17,1.0131829911747643,47.0,1.0039881533116264
2022-02-18,1.0153129537544203,52.2,1.0193621774732733
2022-02-21,1.0149965167216304,58.0,1.0346490594131488
2022-02-22,1.0304651344309665,57.6,1.0661697820970435
2022-02-24,1.0145982872469133,63.8,1.081734034830075
2022-02-25,0.9973872780539219,101.0,1.078907764577455
2022-02-28,1.0170582351680597,72.4,1.0973120269502628
2022-03-01,0.9974455792194463,97.6,1.0945090303058695
2022-03-02,0.9847642227537713,131.0,1.0778333345261435
2022-03-03,1.0114682130511687,66.2,1.090194156840141
2022-03-04,0.9958357292287161,96.6,1.085654293177787
2022-03-07,0.9720022378999217,149.8,1.0552584025544667
2022-03-08,0.9777172625292828,118.6,1.0317443566065772
2022-03-09,0.9880569772771118,111.2,1.0194222103114132
2022-03-10,0.9915528318621337,113.0,1.0108109794974374
2022-03-11,0.9848078971867807,129.4,0.9954546351721815
2022-03-14,1.0022837527279944,99.4,0.9977280074108507
2022-03-15,0.9983049661812108,102.2,0.9960368246963361
2022-03-16,0.9972435648394382,99.2,0.9932913137715288
2022-03-17,1.015253224234748,67.6,1.0084422089109135
2022-03-18,0.9946677229627774,100.2,1.0030649156769718
2022-03-22,1.0139920246759426,53.6,1.0170998247286962
2022-03-23,1.0037182127529707,80.2,1.0208816182680467
2022-03-24,0.9965438016241954,93.8,1.0173532488771
2022-03-25,1.0003011864321079,90.8,1.0176596618723226
2022-03-28,1.0128041284795344,56.8,1.0306899069313753
2022-03-29,0.9993390908195396,96.4,1.0300087145096766
2022-03-30,0.9764391171575951,136.6,1.005740799860458
2022-03-31,0.9981401670669727,98.8,1.0038702899987884
2022-04-01,0.9986068658528484,87.8,1.0024717640184801
2022-04-04,1.003328557250731,83.0,1.0058085486772568
2022-04-05,0.9923540865604411,107.8,0.9981182235773021
2022-04-06,1.0063766938281586,69.0,1.00448291789336
2022-04-07,1.0103109882373293,111.2,1.0148401294443568
2022-04-08,0.9925789578039591,110.0,1.0073089580215147
2022-04-11,0.9857660793870653,121.6,0.9929710022803384
2022-04-12,1.010185162529793,80.6,1.0030845733259353
2022-04-13,0.9993324958441101,87.2,1.002415010204531
2022-04-14,1.0065960407715249,66.4,1.0090269804818286
2022-04-15,1.0096856943883583,51.6,1.0188001074443835
2022-04-18,0.9831544812488395,137.0,1.0016378911307449
2022-04-19,0.9994045215780881,89.0,1.0010414373800072
2022-04-20,1.0034023447631237,74.0,1.0044473254721469
2022-04-21,1.0004196625943498,90.4,1.0048688544426423
2022-04-22,1.0018652191810893,82.4,1.006743155104428
2022-04-25,1.0050913021772874,76.2,1.0118687887219802
2022-04-26,1.0036408614972325,75.4,1.0155528628350894
2022-04-27,1.0089692368841694,82.0,1.0246615970302537
2022-04-28,1.0083883162090777,73.4,1.033256782513442
2022-05-02,1.0068863385374864,81.0,1.0403721385139835
2022-05-06,1.0101349618216162,69.6,1.0509162704180959
2022-05-09,0.9973973239569011,97.9,1.0481810758177759
2022-05-10,0.9967540723939347,99.2,1.0447787559276236
2022-05-11,0.9942362513808666,99.8,1.038756913815846
2022-05-12,1.0099665935841262,77.2,1.0491097818085497
2022-05-13,1.0047329927963153,85.8,1.0540752108483935
2022-05-16,0.9973531151642931,103.4,1.0512851951571043
2022-05-17,1.0015996125897881,81.8,1.0529668441907354
2022-05-18,0.9968730645822128,105.6,1.0496742848718799
2022-05-19,0.9959883438605549,99.2,1.0454633525825558
2022-05-20,1.0236726255105084,53.2,1.0702122150132034
2022-05-23,0.9911852173975949,108.2,1.0607785269994237
2022-05-24,0.9866609251092839,110.4,1.0466287227853148
2022-05-25,0.990568836636541,123.4,1.0367577963198382
2022-05-26,0.9930113731575195,113.4,1.0295122829553265
2022-05-27,1.0129986418755952,74.0,1.0428945444279891
2022-05-30,0.9976940772877276,101.0,1.0404897102114876
2022-05-31,0.9857070545154379,124.2,1.0256180475061871
2022-06-01,0.9960019681398498,110.4,1.0215175938759122
2022-06-02,0.9960269263368698,83.8,1.0174590292272598
2022-06-03,1.0023633097601656,84.0,1.0198636000816013
2022-06-06,0.9960323703091591,99.0,1.0158171589813096
2022-06-07,1.003081601336083,87.4,1.0189475024956425
