,Code,Sector,Sector33CodeName
252,3708,食品運搬・販売,
253,3738,インフラ整備,
254,3762,ITソリューション,
255,3765,PC・ソシャゲ,
256,3769,ITサービス,
257,3774,ITサービス,
258,3788,ソフトウェア,
259,3817,ＳＲＡホールディングス,
260,3836,アバントグループ,
261,3844,ITソリューション,
262,3861,製紙,
263,3863,製紙,
264,3865,製紙,
265,3880,製紙,
266,3901,マークラインズ,
267,3902,ITソリューション,
268,3903,PC・ソシャゲ,
269,3923,ITサービス,
270,3926,国内観光,
271,3932,アカツキ,
272,3941,製紙,
273,3962,チェンジホールディングス,
274,4004,総合化学,
275,4005,総合化学,
276,4008,中堅化学,
277,4021,樹脂等,
278,4023,中堅化学,
279,4025,多木化学,
280,4028,中堅化学,
281,4041,中堅化学,
282,4042,総合化学,
283,4043,総合化学,
284,4044,樹脂・セメント,
285,4045,油脂・ポリマー,
286,4046,大阪ソーダ,
287,4047,中堅化学,
288,4061,樹脂・セメント,
289,4062,電子部品,
290,4063,半導体1,
291,4078,堺化学工業,
292,4082,第一稀元素化学工業,
293,4088,塗料・酸素,
294,4091,塗料・酸素,
295,4092,樹脂・セメント,
296,4095,油脂・ポリマー,
297,4109,ステラ　ケミファ,
298,4112,中堅化学,
299,4114,中堅化学,
300,4118,樹脂・セメント,
301,4151,製薬,
302,4182,総合化学,
303,4183,総合化学,
304,4186,半導体1,
305,4187,中堅化学,
306,4188,総合化学,
307,4189,ＫＨネオケム,
308,4202,樹脂・セメント,
309,4203,樹脂等,
310,4204,住宅,
311,4205,塗料・酸素,
312,4206,インフラ整備,
313,4208,総合化学,
314,4216,中堅化学,
315,4246,樹脂・セメント,
316,4272,樹脂等,
317,4290,ソフトウェア,
318,4301,アミューズ,
319,4307,ITサービス,
320,4324,印刷・広告,
321,4326,食品運搬・販売,
322,4344,ITソリューション,
323,4368,扶桑化学工業,
324,4369,半導体1,
325,4401,中堅化学,
326,4403,油脂・ポリマー,
327,4452,衛生,
328,4461,第一工業製薬,
329,4471,中堅化学,
330,4502,製薬,
331,4503,製薬,
332,4506,製薬,
333,4507,製薬,
334,4516,製薬,
335,4519,製薬,
336,4521,小型医薬品,
337,4523,製薬,
338,4527,小型医薬品,
339,4528,製薬,
340,4530,小型医薬品,
341,4534,中堅製薬,
342,4536,製薬,
343,4540,小型医薬品,
344,4543,ヘルスケア,
345,4544,医薬品卸,
346,4547,中堅製薬,
