Sector,count,mean,std,min,25%,50%,75%,max,SR
アズワン - パイロットコーポレーション,795.0,0.002238153251135915,0.016731187500788197,-0.054723562206031584,-0.007443804448794278,0.0017080172124057658,0.0118577710217182,0.0956261621796427,0.13377133278976625
アイカ工業 - 日本瓦斯,795.0,0.0017528522140597663,0.013730023863659015,-0.06227608693632736,-0.006795699766819541,0.0006920556606833106,0.009204265814029278,0.07720554585360673,0.12766563492283953
アイフル - イー・ギャランティ,795.0,0.0020652683173880038,0.01984779458358566,-0.09252810859853233,-0.009676541572281316,0.0017573147022251767,0.01361126027146714,0.09284210526315795,0.104055304920175
キーエンス - ＨＯＹＡ,795.0,0.0014647326967173883,0.01443563076326586,-0.055753903003768146,-0.006794928692331448,0.0009403133516745488,0.010006470500693754,0.09232788555014826,0.10146648392009806
セブン銀行 - 山口フィナンシャルグループ,795.0,0.0013300745535119484,0.01395857730690883,-0.07064608821281204,-0.006948631266808503,0.0012568371943372236,0.008360380170169712,0.09643867924528282,0.0952872577389119
大阪チタニウムテクノロジーズ - 東邦チタニウム,795.0,0.0020008696030303494,0.022087263132573427,-0.06485635181767113,-0.010948729076124541,0.0016957500610135234,0.014419259036265286,0.10799654108961154,0.09058929533372315
ジャパンマテリアル - ディスコ,795.0,0.0020691766448358785,0.023077681946971212,-0.07195720507325643,-0.011632874431598605,0.002103610675039169,0.016261339003659503,0.11328309632018774,0.08966137281857478
芙蓉総合リース - リコーリース,795.0,0.0007992237690210816,0.009123565005535687,-0.050551331119016774,-0.004923554363168214,0.0007593171667804599,0.006449757361202568,0.032781874758077034,0.08759994240586391
あおぞら銀行 - りそなホールディングス,795.0,0.001389502244178043,0.01600809380450522,-0.11843269096245157,-0.007026873774750753,0.0008007056132082191,0.008866500545245848,0.07304310059034502,0.08679998138110546
積水化学工業 - 三和ホールディングス,795.0,0.001218308090435409,0.014262939174321605,-0.05980788087284561,-0.0062835499329302325,0.0006114544831196111,0.00791594406428453,0.1337678166993399,0.08541774423526952
オリエントコーポレーション - イー・ギャランティ,795.0,0.0014159562984317337,0.016658621256596954,-0.06216522222724852,-0.009415938850395933,0.001302802460697361,0.01232665238267483,0.061765976091942565,0.08499840872911395
帝人 - 三菱ケミカルグループ,795.0,0.0012479024339183185,0.014703836314491184,-0.071807287845439,-0.00595808757245353,0.0007070652306000458,0.008079539722530005,0.10808249176203821,0.08486917340670229
野村ホールディングス - 松井証券,795.0,0.0009722938120257386,0.011608630859263242,-0.05560633701244344,-0.006224198634248723,0.00044245351331562155,0.007711954238083463,0.062562441645444,0.08375611420617148
サッポロホールディングス - アサヒグループホールディングス,795.0,0.0013187448331670709,0.015826444800022245,-0.07088450824807513,-0.007505849748332349,0.0010221529353453551,0.008785144770697029,0.1446240571470936,0.08332539934459679
ＳＵＭＣＯ - ディスコ,795.0,0.0017987696170753977,0.02165730670214845,-0.1310762369677726,-0.008468852792799075,0.0015579930834167532,0.012989679764198736,0.09545753785385114,0.08305601623571023
東洋水産 - 日清食品ホールディングス,795.0,0.0012813732861590723,0.015653913432261534,-0.0468876638311857,-0.007707028229897717,0.0006757658730079941,0.009829918921669012,0.12469908712771782,0.08185641831379102
ＤＭＧ森精機 - ソディック,795.0,0.0013915929912348085,0.01700877476275551,-0.09099052565705812,-0.008040213254483786,0.001029360967184756,0.010771538508424938,0.10615292712066904,0.08181618080345272
ＭＡＲＵＷＡ - ニデック,795.0,0.0018329405931932254,0.022420887522734356,-0.06978315967333137,-0.011429102510829514,0.0011729731932771381,0.015376239117669055,0.1651699517296863,0.08175147354602526
りそなホールディングス - 三井住友フィナンシャルグループ,795.0,0.0009283452931814392,0.011500110845713887,-0.03496691048415179,-0.005163281978684542,0.000664219467036764,0.0065471300609777905,0.1310084825636193,0.08072489958020146
ＴＢＳホールディングス - テレビ朝日ホールディングス,795.0,0.0009264804627185828,0.01153267731709831,-0.03728750480691079,-0.006126007669059852,0.000491996244002979,0.00706771261254352,0.059358681721792594,0.08033524542865567
オリックス - ソフトバンクグループ,795.0,0.0013919797066642794,0.017597901220120605,-0.08013057168075499,-0.00877253774690212,0.0005050638475414537,0.011071083430817918,0.07106433461400319,0.07909918854827733
信越化学工業 - 東京応化工業,795.0,0.0012111952675351008,0.015439630734646605,-0.07077931301423612,-0.007490826739154355,0.0007563339932004087,0.009992688523795812,0.07539159173666055,0.07844716550229229
ＳＢＳホールディングス - ニッコンホールディングス,795.0,0.0011389111281878807,0.014870249390949193,-0.0640156999150302,-0.007320978586792426,0.0007424555988166937,0.009373182093666332,0.0728208775004715,0.07658991441536153
イビデン - 新光電気工業,795.0,0.001801741045279102,0.023533040635628773,-0.08057754138206885,-0.01063297243806971,0.0012795016104814039,0.012318451211506765,0.2789189744350522,0.07656218646694067
丸紅 - 岩谷産業,795.0,0.0011451043542836153,0.015087031317122215,-0.0652962443035674,-0.00707407294272594,0.0009816629552835687,0.009165264548142316,0.0728843889804569,0.07589991232960727
堺化学工業 - 伯東,795.0,0.0011522559452674073,0.01520385739888016,-0.04631417368087931,-0.007800688126976707,0.0003027600709009093,0.010160929836626253,0.08462300452371507,0.07578707922847769
東京応化工業 - 日東電工,795.0,0.0012289361070884869,0.01636722660634739,-0.06440803950770446,-0.009199021141365393,0.0016929666930984855,0.010045058100157434,0.09097372312592422,0.07508517702149317
博報堂ＤＹホールディングス - 電通グループ,795.0,0.0010194732848930346,0.013735831911298072,-0.05901774659513004,-0.00644582947600042,0.0005853710454195582,0.00881296911034185,0.07773586517577558,0.07421998838341141
