Sector,2025-04-03
カッパ・クリエイト - 木曽路,0.9636121587691884
カッパ・クリエイト - Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,2.0237069197116484
カワチ薬品 - アークス,0.7100194391232021
カワチ薬品 - クリエイトＳＤホールディングス,0.589248332227412
カワチ薬品 - バローホールディングス,0.6440432440412526
キッセイ薬品工業 - ゼリア新薬工業,1.6878977476863577
キッセイ薬品工業 - 杏林製薬,0.7711198443005519
キヤノン電子 - 信越ポリマー,0.7612939945110684
キーエンス - ＨＯＹＡ,2.9487273101382834
クオールホールディングス - 壱番屋,1.9140549294001419
クボタ - トヨタ自動車,0.9458407990908959
クラレ - ＤＩＣ,1.2375734580250108
クリエイト・レストランツ・ホールディングス - コロワイド,1.444619573307394
クレディセゾン - イオンフィナンシャルサービス,0.5940221613765253
クレハ - 三菱ロジスネクスト,0.7854021348956588
クレハ - 長瀬産業,1.3550814768068769
クレハ - 阪和興業,0.56418117786355
グローブライド - 美津濃,0.30537355472569394
グローリー - 三愛オブリ,1.615501513725084
グローリー - 長瀬産業,0.9261372112717348
グンゼ - キッツ,0.9256321407313955
グンゼ - クミアイ化学工業,1.2452412751591335
グンゼ - ニチハ,0.9642018372538872
グンゼ - 伊藤忠エネクス,1.1572753783749428
ケーズホールディングス - ヤマダホールディングス,1.206580372091805
ゲオホールディングス - モスフードサービス,0.30714850084565043
コカ・コーラ　ボトラーズジャパンホールディングス - カゴメ,0.9122762954620983
コカ・コーラ　ボトラーズジャパンホールディングス - 伊藤園,0.38642700281902104
コクヨ - オカムラ,1.3539948400224808
コクヨ - サンゲツ,2.219999159303671
コジマ - 丸三証券,1.4721594619052756
コジマ - 岡三証券グループ,1.5975269386667554
コジマ - 東海東京フィナンシャル・ホールディングス,0.8652745698218348
コジマ - 極東証券,1.4738883770736435
コスモス薬品 - サンドラッグ,1.1331806030965526
コスモス薬品 - ツルハホールディングス,1.0548550069873313
コスモス薬品 - ニトリホールディングス,1.326370110802287
コニカミノルタ - リコー,0.9111771865582862
コムシスホールディングス - エクシオグループ,0.6774211054305802
コメリ - アークランズ,1.661282671376213
コロプラ - ネクセラファーマ,0.8866994125111002
コーエーテクモホールディングス - カプコン,0.6292325579463677
コーエーテクモホールディングス - ネクソン,1.3892785606025115
コーセー - ポーラ・オルビスホールディングス,0.350590275743626
